stw,draft,foc,ws,wd,swh,lat,lon,dt
14.0,8.33,43.2,8.52,120.91,0.34,37.1748,23.535833,2019-09-26 07:26
14.01,8.33,43.2,8.59,120.4,0.34,37.1626,23.52771700000001,2019-09-26 07:30
14.02,8.33,43.2,8.62,120.62,0.33,37.158533,23.525017000000002,2019-09-26 07:31
14.02,8.33,43.2,8.63,120.78,0.32,37.150217,23.519633,2019-09-26 07:33
14.03,8.33,43.2,8.67,120.45,0.31,37.1461,23.51691700000001,2019-09-26 07:35
14.03,8.33,43.2,8.7,120.47,0.31,37.141967,23.514167,2019-09-26 07:36
14.04,8.33,43.2,8.68,120.53,0.3,37.137867,23.51155,2019-09-26 07:37
14.04,8.33,43.2,8.64,120.58,0.29,37.133783,23.508867000000002,2019-09-26 07:38
14.03,8.33,43.2,8.6,120.57,0.28,37.133783,23.508867000000002,2019-09-26 07:39
14.01,8.32,43.2,8.58,120.66,0.27,37.129667,23.506133,2019-09-26 07:40
14.02,8.32,43.2,8.57,120.87,0.27,37.121533,23.5006,2019-09-26 07:42
14.02,8.32,43.2,8.61,120.61,0.26,37.121533,23.5006,2019-09-26 07:43
14.02,8.32,43.2,8.65,121.03,0.25,37.117433,23.497783,2019-09-26 07:44
14.01,8.32,43.2,8.65,121.02,0.25,37.1134,23.495033,2019-09-26 07:45
13.99,8.32,43.2,8.65,121.26,0.25,37.105317,23.489417,2019-09-26 07:47
13.98,8.32,43.2,8.71,120.7,0.25,37.105317,23.489417,2019-09-26 07:48
13.98,8.32,43.2,8.64,121.28,0.25,37.09725,23.483683,2019-09-26 07:50
13.98,8.32,43.2,8.62,121.8,0.25,37.09323300000001,23.480867,2019-09-26 07:51
13.97,8.32,43.2,8.59,121.94,0.25,37.08915,23.477933,2019-09-26 07:53
13.97,8.32,43.2,8.58,121.84,0.25,37.085133,23.47505,2019-09-26 07:54
13.96,8.32,43.2,8.53,122.13,0.25,37.077083,23.469182999999997,2019-09-26 07:56
13.95,8.32,43.1,8.49,122.38,0.25,37.073067,23.466267000000002,2019-09-26 07:57
13.93,8.32,43.01,8.4,122.68,0.25,37.06903300000001,23.463317,2019-09-26 07:59
13.92,8.32,42.91,8.29,123.28,0.25,37.060916999999996,23.457333,2019-09-26 08:01
13.9,8.32,42.91,8.15,123.83,0.25,37.056883,23.454383,2019-09-26 08:03
13.88,8.32,42.81,8.02,124.4,0.25,37.048767,23.4483,2019-09-26 08:05
13.85,8.32,42.81,7.96,125.12,0.25,37.040733,23.442183,2019-09-26 08:07
13.85,8.33,42.81,7.83,125.75,0.25,37.040733,23.442183,2019-09-26 08:08
13.87,8.32,42.81,7.79,127.21,0.25,37.032633000000004,23.435967,2019-09-26 08:10
13.89,8.33,42.81,7.84,129.02,0.25,37.0205,23.42675,2019-09-26 08:14
13.9,8.33,42.81,7.84,131.17,0.25,37.004067,23.414282999999998,2019-09-26 08:19
13.9,8.33,42.81,7.89,132.7,0.25,36.9917,23.40496700000001,2019-09-26 08:22
13.9,8.33,42.81,7.88,134.04,0.25,36.987567,23.4019,2019-09-26 08:24
13.91,8.33,42.81,7.82,135.41,0.25,36.979183,23.395833,2019-09-26 08:26
13.91,8.33,42.81,7.82,137.18,0.25,36.975033,23.39275,2019-09-26 08:28
13.92,8.33,42.81,7.81,138.59,0.25,36.970817,23.389682999999998,2019-09-26 08:29
13.93,8.33,42.91,7.87,140.12,0.25,36.966583,23.386933,2019-09-26 08:30
13.95,8.33,43.01,8.04,141.74,0.25,36.96223300000001,23.384583,2019-09-26 08:31
13.98,8.33,43.1,8.13,144.23,0.25,36.957767,23.382617,2019-09-26 08:32
14.01,8.33,43.1,8.27,146.57,0.25,36.957767,23.382617,2019-09-26 08:33
14.03,8.33,43.2,8.42,148.93,0.25,36.953267,23.381,2019-09-26 08:34
14.05,8.33,43.2,8.48,150.93,0.25,36.939267,23.3772,2019-09-26 08:38
14.06,8.33,43.2,8.58,152.55,0.25,36.92505,23.37335,2019-09-26 08:41
14.04,8.33,43.2,8.48,153.57,0.25,36.920317,23.372132999999998,2019-09-26 08:43
14.03,8.33,43.2,8.38,153.83,0.25,36.910866999999996,23.369782999999998,2019-09-26 08:45
14.03,8.33,43.2,8.33,154.75,0.25,36.906166999999996,23.368567000000002,2019-09-26 08:46
14.04,8.33,43.2,8.28,155.25,0.25,36.906166999999996,23.368567000000002,2019-09-26 08:47
14.04,8.33,43.2,8.25,155.87,0.25,36.89673300000001,23.366032999999998,2019-09-26 08:49
14.05,8.33,43.2,8.23,156.56,0.25,36.89205,23.3648,2019-09-26 08:50
14.07,8.33,43.2,8.19,157.26,0.25,36.88735,23.363533,2019-09-26 08:52
14.07,8.32,43.2,8.16,157.45,0.25,36.882633,23.362182999999998,2019-09-26 08:53
14.08,8.32,43.2,8.11,157.41,0.25,36.873267,23.359667,2019-09-26 08:55
14.09,8.33,43.2,7.83,157.68,0.25,36.868533,23.35841700000001,2019-09-26 08:57
14.1,8.32,43.2,7.63,156.83,0.25,36.8543,23.354682999999998,2019-09-26 09:00
14.11,8.33,43.2,7.45,155.28,0.25,36.8495,23.353482999999997,2019-09-26 09:01
14.13,8.33,43.2,7.41,153.67,0.25,36.830067,23.349783,2019-09-26 09:06
14.14,8.33,43.2,7.39,152.79,0.25,36.820267,23.348533,2019-09-26 09:09
14.13,8.32,43.2,7.4,151.71,0.25,36.810367,23.3472,2019-09-26 09:11
14.14,8.32,43.2,7.48,150.78,0.25,36.810367,23.3472,2019-09-26 09:12
14.15,8.33,43.2,7.52,150.3,0.25,36.80545,23.346532999999997,2019-09-26 09:13
14.15,8.33,43.2,7.61,148.9,0.25,36.795533,23.345267,2019-09-26 09:15
14.15,8.33,43.2,7.68,147.94,0.25,36.79065,23.344632999999998,2019-09-26 09:16
14.15,8.33,43.2,7.67,147.16,0.25,36.785683,23.34395,2019-09-26 09:18
14.14,8.33,43.2,7.68,146.49,0.25,36.780767,23.3433,2019-09-26 09:19
14.13,8.33,43.2,7.71,145.6,0.25,36.770933,23.34195,2019-09-26 09:22
14.12,8.33,43.2,7.69,145.33,0.25,36.76605,23.34125,2019-09-26 09:23
14.1,8.33,43.2,7.72,145.26,0.25,36.756167,23.339833,2019-09-26 09:25
14.09,8.33,43.2,8.0,144.98,0.25,36.751267,23.339183,2019-09-26 09:26
14.08,8.33,43.2,8.22,144.45,0.25,36.751267,23.339183,2019-09-26 09:27
14.07,8.33,43.2,8.4,144.59,0.25,36.746433,23.3385,2019-09-26 09:28
