stw,draft,foc,ws,wd,swh,lat,lon,dt
17.35,9.25,100.9,9.5,54.93,1.46,54.20186700000001,6.972875,2020-07-01 08:31
17.35,9.25,100.9,9.58,55.0,1.46,54.201933,6.96468,2020-07-01 08:32
17.36,9.25,100.99,9.64,55.34,1.46,54.201917,6.956467,2020-07-01 08:33
17.38,9.25,100.99,9.62,55.21,1.46,54.20183299999999,6.948117999999999,2020-07-01 08:34
17.39,9.25,101.09,9.69,55.36,1.46,54.2018,6.939933,2020-07-01 08:35
17.41,9.25,101.09,9.77,55.5,1.46,54.201733,6.931767999999999,2020-07-01 08:36
17.42,9.25,101.19,9.87,55.38,1.46,54.201717,6.9235630000000015,2020-07-01 08:37
17.43,9.25,101.28,10.01,56.01,1.46,54.2017,6.9153270000000004,2020-07-01 08:38
17.46,9.25,101.19,10.06,55.78,1.46,54.20165,6.906986999999999,2020-07-01 08:39
17.46,9.25,101.28,10.23,56.14,1.46,54.201567000000004,6.898808,2020-07-01 08:40
17.48,9.25,101.38,10.25,56.38,1.46,54.201533,6.890558,2020-07-01 08:41
17.5,9.25,101.48,10.26,56.91,1.46,54.201517,6.882172,2020-07-01 08:42
17.5,9.25,101.48,10.29,57.29,1.46,54.201467,6.8739300000000005,2020-07-01 08:43
17.51,9.25,101.48,10.36,57.49,1.46,54.2014,6.8656630000000005,2020-07-01 08:44
17.53,9.25,101.48,10.32,57.67,1.46,54.201432999999994,6.857407000000001,2020-07-01 08:45
17.53,9.25,101.48,10.28,57.9,1.46,54.201417000000006,6.849133,2020-07-01 08:46
17.55,9.25,101.48,10.29,57.71,1.46,54.201417000000006,6.840742999999999,2020-07-01 08:47
17.54,9.25,101.38,10.25,57.39,1.46,54.20138299999999,6.832364999999999,2020-07-01 08:48
17.53,9.25,101.48,10.32,57.58,1.46,54.201283,6.824077000000001,2020-07-01 08:49
17.53,9.25,101.48,10.29,57.47,1.46,54.2012,6.8157820000000005,2020-07-01 08:50
17.54,9.25,101.48,10.21,57.58,1.46,54.201133,6.80733999,2020-07-01 08:51
17.56,9.25,101.48,10.17,57.63,1.46,54.201067,6.7990520000000005,2020-07-01 08:52
17.55,9.25,101.38,10.12,57.32,1.46,54.20096700000001,6.790705,2020-07-01 08:53
17.56,9.25,101.38,10.15,57.33,1.46,54.200832999999996,6.782353,2020-07-01 08:54
17.56,9.25,101.28,10.04,57.1,1.46,54.200667,6.77387,2020-07-01 08:55
17.56,9.25,101.09,9.99,56.85,1.46,54.2005,6.765495,2020-07-01 08:56
17.54,9.25,100.7,9.96,56.5,1.46,54.20033299999999,6.75715,2020-07-01 08:57
17.53,9.25,100.41,9.93,56.37,1.46,54.20016700000001,6.7488220000000005,2020-07-01 08:58
17.52,9.25,100.12,9.84,56.17,1.46,54.2,6.7403619999999975,2020-07-01 08:59
17.52,9.25,99.94,9.85,56.31,1.46,54.19986700000001,6.732078,2020-07-01 09:00
17.5,9.25,99.75,9.93,56.47,1.46,54.199633,6.715428,2020-07-01 09:02
17.48,9.25,99.55,9.81,56.51,1.46,54.199417000000004,6.707007000000001,2020-07-01 09:03
