stw,draft,foc,ws,wd,swh,lat,lon,dt
17.39,9.62,100.41,6.13,296.54,1.78,51.95005,2.2659130000000003,2020-06-28 10:48
17.4,9.62,100.51,6.13,297.09,1.78,51.953267,2.2719869999999998,2020-06-28 10:49
17.41,9.62,100.51,6.13,274.88,1.78,51.9564,2.277957,2020-06-28 10:50
17.37,9.62,100.51,6.13,267.9,1.78,51.959567,2.283933,2020-06-28 10:51
17.36,9.62,100.41,6.13,245.77,1.78,51.962717,2.28987,2020-06-28 10:52
17.36,9.62,100.41,6.13,245.92,1.78,51.965933,2.295893,2020-06-28 10:53
17.33,9.62,100.22,6.07,242.16,1.78,51.9691,2.301885,2020-06-28 10:54
17.29,9.62,99.55,6.13,255.38,1.78,51.972266999999995,2.307833,2020-06-28 10:55
17.26,9.62,98.6,6.13,270.05,1.78,51.9755,2.313788,2020-06-28 10:56
17.21,9.62,97.53,6.13,267.66,1.78,51.97875,2.319858,2020-06-28 10:57
17.15,9.62,96.38,6.07,284.62,1.78,51.98195,2.325805,2020-06-28 10:58
17.09,9.62,95.14,6.13,298.53,1.78,51.98513300000001,2.331738,2020-06-28 10:59
17.03,9.62,93.99,6.13,298.44,1.78,51.988333000000004,2.3377470000000002,2020-06-28 11:00
16.97,9.62,92.74,6.2,294.25,1.78,51.997766999999996,2.355917,2020-06-28 11:03
16.88,9.62,91.48,6.27,300.53,1.78,52.000867,2.361873,2020-06-28 11:04
16.82,9.62,90.33,6.33,295.84,1.78,52.004033,2.367932,2020-06-28 11:05
16.74,9.62,88.89,6.22,287.16,1.78,52.00718300000001,2.373883,2020-06-28 11:06
16.64,9.62,87.45,6.29,292.02,1.78,52.010283,2.379833,2020-06-28 11:07
16.59,9.62,86.01,6.36,283.53,1.78,52.013366999999995,2.385703,2020-06-28 11:08
16.49,9.62,84.77,6.42,290.85,1.78,52.016533,2.39173,2020-06-28 11:09
16.41,9.62,83.33,6.49,299.81,1.78,52.019633,2.397663,2020-06-28 11:10
16.36,9.62,82.18,6.56,300.23,1.78,52.022733,2.403523,2020-06-28 11:11
16.32,9.62,81.4,6.56,298.46,1.78,52.025767,2.4093150000000003,2020-06-28 11:12
16.27,9.62,81.03,6.43,296.77,1.78,52.028833,2.415192,2020-06-28 11:13
16.24,9.62,80.74,6.5,295.55,1.81,52.0318,2.420907,2020-06-28 11:14
16.19,9.62,80.54,6.33,290.83,1.85,52.034783000000004,2.42659,2020-06-28 11:15
16.16,9.62,80.35,6.11,289.97,1.88,52.037733,2.4322470000000003,2020-06-28 11:16
16.14,9.62,80.16,6.18,283.75,1.91,52.040733,2.437997,2020-06-28 11:17
16.11,9.62,79.96,6.18,285.08,1.94,52.043683,2.443648,2020-06-28 11:18
16.11,9.62,79.88,6.18,287.75,1.98,52.046583,2.4492700000000003,2020-06-28 11:19
16.09,9.62,79.88,6.18,288.43,2.01,52.049467,2.454923,2020-06-28 11:20
16.08,9.62,79.88,6.12,291.81,2.04,52.0524,2.46062,2020-06-28 11:21
16.09,9.62,79.96,6.12,295.26,2.07,52.055267,2.466257,2020-06-28 11:22
16.09,9.62,79.96,5.9,296.06,2.11,52.058183,2.471867,2020-06-28 11:23
16.13,9.62,79.96,5.83,296.57,2.14,52.0611,2.477482,2020-06-28 11:24
16.13,9.62,79.96,5.83,292.76,2.17,52.06405,2.48322,2020-06-28 11:25
16.14,9.62,79.96,5.83,294.7,2.2,52.066933,2.4888619999999997,2020-06-28 11:26
16.13,9.62,80.06,5.74,294.91,2.24,52.069783,2.494473,2020-06-28 11:27
16.1,9.62,79.96,5.83,294.84,2.27,52.07265,2.500078,2020-06-28 11:28
16.08,9.62,79.88,5.82,294.18,2.27,52.075567,2.505805,2020-06-28 11:29
16.1,9.62,79.78,6.03,293.78,2.27,52.07845,2.511463,2020-06-28 11:30
16.08,9.62,79.78,6.14,294.37,2.27,52.081333,2.5171419999999998,2020-06-28 11:31
16.07,9.62,79.78,5.97,294.7,2.27,52.0842,2.522797,2020-06-28 11:32
16.07,9.62,79.78,5.78,294.08,2.27,52.087117,2.5285279999999997,2020-06-28 11:33
16.07,9.62,79.88,5.59,293.67,2.27,52.089983000000004,2.53417,2020-06-28 11:34
16.08,9.62,79.88,5.44,293.2,2.27,52.09285,2.539843,2020-06-28 11:35
16.06,9.62,79.96,5.52,291.68,2.27,52.095683,2.545515,2020-06-28 11:36
16.04,9.62,79.96,5.38,290.47,2.27,52.09858300000001,2.55127,2020-06-28 11:37
16.01,9.62,79.96,5.52,291.69,2.27,52.101467,2.5569599999999997,2020-06-28 11:38
15.98,9.62,79.96,5.49,291.27,2.27,52.104317,2.562593,2020-06-28 11:39
15.97,9.62,80.16,5.47,292.71,2.27,52.107167,2.568245,2020-06-28 11:40
15.96,9.62,80.16,5.4,293.17,2.27,52.110017,2.573927,2020-06-28 11:41
15.95,9.62,80.16,5.34,293.61,2.27,52.112933,2.579618,2020-06-28 11:42
15.97,9.62,80.16,5.41,293.18,2.27,52.115833,2.585188,2020-06-28 11:43
15.94,9.62,80.16,5.33,294.18,2.27,52.118733,2.590728,2020-06-28 11:44
15.89,9.62,79.88,5.23,294.05,2.27,52.121666999999995,2.596405,2020-06-28 11:45
15.84,9.62,79.59,5.31,293.99,2.27,52.124583,2.6019520000000003,2020-06-28 11:46
15.83,9.62,79.59,5.36,293.73,2.27,52.127466999999996,2.607533,2020-06-28 11:47
15.81,9.62,79.49,5.43,293.97,2.27,52.130367,2.613138,2020-06-28 11:48
15.79,9.62,79.59,5.61,292.67,2.27,52.133267,2.618693,2020-06-28 11:49
15.74,9.62,79.49,5.63,294.35,2.27,52.136183,2.624367,2020-06-28 11:50
15.69,9.62,79.1,5.71,304.7,2.27,52.13905,2.629943,2020-06-28 11:51
15.66,9.62,78.91,5.79,315.22,2.27,52.141933,2.635472,2020-06-28 11:52
15.64,9.62,79.1,5.81,319.54,2.27,52.144833,2.6411,2020-06-28 11:53
15.6,9.62,79.1,5.84,308.57,2.27,52.147667,2.6467,2020-06-28 11:54
15.56,9.62,78.91,5.72,312.07,2.27,52.150517,2.652328,2020-06-28 11:55
15.53,9.62,79.01,5.73,322.41,2.27,52.1534,2.65793,2020-06-28 11:56
15.52,9.62,79.01,5.81,311.19,2.27,52.156267,2.663518,2020-06-28 11:57
