'draft', 'windDir', 'ws', 'stwC', 'swh', 'dt', 'lat', 'lon', 'currSpeed', 'currDir','sovg', 'vslHeading'
12.76,59.17,11.18,0,1.04,2019-11-17 01:00:00,32.177483,128.5305,0.51,238.62,0,123.580087422972
12.76,74.16,11.07,18.6298051308022,1.05,2019-11-17 01:59:52,31.989357,128.813866,0.51,238.62,18.3642421869205,123.580087422972
12.76,74.16,11.07,18.6298051308022,1.05,2019-11-17 02:59:48,31.801231,129.097232,0.51,238.62,18.3642421869205,123.580180594968
12.76,74.16,11.07,18.6298051308022,1.05,2019-11-17 03:59:50,31.613105,129.380597,0.51,238.62,18.3642421869205,123.580119591658
12.76,62.2,9.02,18.4916530281612,1.37,2019-11-17 05:26:03,31.343304,129.786986,0.03,290.98,18.3642421869205,114.021371566948
12.76,62.2,9.02,17.7746811613332,1.37,2019-11-17 06:25:58,31.206601,130.093718,0.03,290.98,17.7854224227334,114.021285180588
12.76,62.2,9.02,17.7746811613332,1.37,2019-11-17 07:25:58,31.069899,130.400449,0.03,290.98,17.7854224227334,114.021296272488
12.76,128.62,6.76,16.6997161007882,1.02,2019-11-17 08:40:37,30.9,130.781667,2.2,349.15,17.7854224227334,74.0645163854813
12.76,131.25,6.76,16.4309652866649,1.02,2019-11-17 10:00:43,31.030577,131.238986,2.2,351.78,18.6,71.4336576886822
12.76,155.93,10.24,17.328219643446,1.38,2019-11-17 11:00:53,31.145699,131.581730,1.56,307.46,18.8913204496926,71.4338079091675
12.76,155.93,10.24,17.9425168813793,1.38,2019-11-17 12:00:58,31.260820,131.924474,1.56,307.46,18.8913204496926,71.4336576886822
12.76,155.93,10.24,17.9425168813793,1.38,2019-11-17 13:01:00,31.375942,132.267218,1.56,307.46,18.8913204496926,71.4338079091675
12.76,133.44,7.54,18.2501378523736,1.4,2019-11-17 14:00:59,31.491063,132.609962,0.99,289.69,18.8913204496926,71.4336576886822
12.76,159.45,9.18,17.8660425586416,1.33,2019-11-17 15:00:53,31.606185,132.952706,1.78,344.71,18.8913204496926,71.4337769774717
12.76,146.64,9.18,17.2477304610483,1.33,2019-11-17 16:01:35,31.722949,133.300341,1.78,331.9,18.8913204496926,84.235555140997
12.76,172.74,9.37,15.9314809423254,1.23,2019-11-17 17:01:38,31.757273,133.640353,1.56,346.87,17.4761824374341,84.2355719804265
12.76,172.74,9.37,15.9569652687282,1.23,2019-11-17 18:01:41,31.791597,133.980366,1.56,346.87,17.4761824374341,84.235555140997
12.76,172.74,9.37,15.9569652687282,1.23,2019-11-17 19:01:42,31.825921,134.320378,1.56,346.87,17.4761824374341,84.235555140997
12.76,128.04,10.77,16.0285484685576,1.18,2019-11-17 20:01:41,31.860245,134.660390,1.76,38.57,17.4761824374341,84.235555140997
12.76,128.04,10.77,16.100131668387,1.18,2019-11-17 21:01:40,31.894569,135.000402,1.76,38.57,17.4761824374341,84.2355913405574
