'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
12.76,59.17,11.18,0,1.04,2019-11-17 01:00:00,32.177483,128.5305,0.51,238.62,0,123.580072655916
12.76,74.16,11.07,18.4323403323712,1.05,2019-11-17 01:59:52,31.991380,128.810819,0.51,238.62,18.1667773884895,123.580072655916
12.76,74.16,11.07,18.4323403323712,1.05,2019-11-17 02:59:48,31.805277,129.091138,0.51,238.62,18.1667773884895,123.580214521775
12.76,74.16,11.07,18.4323403323712,1.05,2019-11-17 03:59:50,31.619173,129.371457,0.51,238.62,18.1667773884895,123.580116603659
12.76,62.2,9.02,18.2941882297303,1.37,2019-11-17 05:28:56,31.343304,129.786986,0.03,290.98,18.1667773884895,114.021346120686
12.76,62.2,9.02,17.5834410161292,1.37,2019-11-17 06:28:52,31.208071,130.090420,0.03,290.98,17.5941822775294,114.021258795278
12.76,62.2,9.02,17.5834410161292,1.37,2019-11-17 07:28:51,31.072839,130.393853,0.03,290.98,17.5941822775294,114.021337372537
12.76,128.62,6.76,16.5084759555842,1.02,2019-11-17 08:45:37,30.9,130.781667,2.2,349.15,17.5941822775294,74.0645163854813
12.76,128.15,6.76,16.241063487987,1.02,2019-11-17 10:06:36,31.030577,131.238986,2.2,348.68,18.4,74.5349354549321
12.76,152.83,10.24,16.7927040934007,1.38,2019-11-17 11:06:44,31.124482,131.578400,1.56,304.36,18.3115297599327,74.5347786497956
12.76,152.83,10.24,17.4310800684044,1.38,2019-11-17 12:06:49,31.218388,131.917814,1.56,304.36,18.3115297599327,74.5349354549321
12.76,152.83,10.24,17.4310800684044,1.38,2019-11-17 13:06:51,31.312293,132.257228,1.56,304.36,18.3115297599327,74.5347786497956
12.76,130.34,7.54,17.7299719675834,1.4,2019-11-17 14:06:49,31.406199,132.596642,0.99,286.59,18.3115297599327,74.5349354549321
12.76,156.35,9.18,17.3256481447234,1.33,2019-11-17 15:06:44,31.500104,132.936056,1.78,341.61,18.3115297599327,74.5348280321092
12.76,150,9.18,16.6586686466962,1.33,2019-11-17 16:07:54,31.596054,133.282859,1.78,335.26,18.3115297599327,80.8785883990499
12.76,176.1,9.37,16.4518702038216,1.23,2019-11-17 17:08:00,31.651743,133.629707,1.56,350.23,18.028870218646,80.8785625430569
12.76,176.1,9.37,16.4914950782219,1.23,2019-11-17 18:08:03,31.707432,133.976554,1.56,350.23,18.028870218646,80.8785883990499
12.76,176.1,9.37,16.4914950782219,1.23,2019-11-17 19:08:04,31.763121,134.323402,1.56,350.23,18.028870218646,80.8787494376442
12.76,131.4,10.77,16.605496292673,1.18,2019-11-17 20:08:04,31.818809,134.670250,1.76,41.93,18.028870218646,80.8785883990499
12.76,131.4,10.77,16.7194975071241,1.18,2019-11-17 21:08:01,31.874498,135.017098,1.76,41.93,18.028870218646,80.878561484743
12.76,131.78,10.77,16.7234118765183,1.18,2019-11-17 22:17:32,31.939119,135.419576,1.76,42.31,18.028870218646,80.5024603187064
12.76,165.27,11.86,17.3829447927451,1.22,2019-11-17 23:17:38,31.998610,135.775174,1.37,53.35,18.4426105673219,80.5024603187064
12.76,165.27,11.86,17.6248229909018,1.22,2019-11-18 00:17:41,32.058101,136.130772,1.37,53.35,18.4426105673219,80.5024603187064
12.76,165.27,11.86,17.6248229909018,1.22,2019-11-18 01:17:43,32.117592,136.486370,1.37,53.35,18.4426105673219,80.5024603187064
12.76,238.72,6.26,17.7807836962514,1.18,2019-11-18 02:17:42,32.177083,136.841968,0.51,7.3,18.4426105673219,80.5024603187064
12.76,238.72,6.26,17.936744401601,1.18,2019-11-18 03:17:38,32.236574,137.197566,0.51,7.3,18.4426105673219,80.5024930802953
12.76,153.39,12.92,17.5779775205771,1.19,2019-11-18 04:21:39,32.30014,137.577523,1.4,330.91,18.4426105673219,74.0877237525933
12.76,258.73,6.29,17.5550819953946,1.01,2019-11-18 05:21:48,32.400340,137.928992,1.4,330.91,18.7784819231632,74.0875300063955
12.76,272.46,10.9,18.2555693281843,1.07,2019-11-18 06:21:54,32.500541,138.280460,1.1,260.71,18.7784819231632,74.0877237525933
