'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
10.3,180.42,1.45,0,0.89,2019-11-04 02:00:00,3.20465,105.341167,0.69,124.9,0,7.81274540324335
10.3,254.64,0.91,22.4286762942115,0.9,2019-11-04 03:00:00,3.567285,105.390924,0.47,169.8,22,7.81274540324335
10.3,254.64,0.91,22.4625719357455,0.9,2019-11-04 04:00:00,3.929920,105.440681,0.47,169.8,22,7.81290048207931
10.3,219.45,1.64,22.4625719357455,0.91,2019-11-04 05:00:00,4.292555,105.490439,0.47,169.8,22,7.81274540324335
10.3,260.1,5.57,22.4625719357455,1.06,2019-11-04 06:00:00,4.655190,105.540196,0.47,169.8,22,7.81272412498942
10.3,260.1,5.57,22.4625719357455,1.06,2019-11-04 07:00:00,5.017826,105.589953,0.47,169.8,22,7.81277863785994
10.3,245.14,4.79,22.457137190046,1.08,2019-11-04 08:12:10,5.454091,105.649813,0.47,163.96,22,13.6499192999229
10.3,271.81,6.64,22.0616368378289,1.05,2019-11-04 09:12:11,5.803569,105.734683,0.47,163.96,21.6099343934825,13.6500741162484
10.3,271.81,6.64,22.0616368378289,1.05,2019-11-04 10:12:11,6.153047,105.819554,0.47,163.96,21.6099343934825,13.649956989437
10.3,277.11,4.46,21.8229755385724,0.91,2019-11-04 11:12:11,6.502594,105.904441,0.03,31.35,21.6099343934825,13.6500210614474
10.3,277.11,4.46,21.5843142393159,0.91,2019-11-04 12:12:11,6.852094,105.989317,0.03,31.35,21.6099343934825,13.649983466812
10.3,277.11,4.46,21.5843142393159,0.91,2019-11-04 13:12:11,7.201595,106.074193,0.03,31.35,21.6099343934825,13.6500269547355
10.3,276.19,2.81,21.6646933228522,0.66,2019-11-04 14:25:56,7.631239,106.178532,0.47,253.29,21.6099343934825,19.0966401411552
10.3,276.19,2.81,22.1343425273036,0.66,2019-11-04 15:25:57,7.977535,106.298425,0.47,253.29,21.9992045143976,19.0965889900898
10.3,276.19,2.81,22.1343425273036,0.66,2019-11-04 16:25:57,8.323832,106.418318,0.47,253.29,21.9992045143976,19.0966401411552
10.3,104.09,2.68,22.0532801541663,0.82,2019-11-04 17:25:58,8.670128,106.538211,0.03,25.9,21.9992045143976,19.0964412464295
10.3,104.09,2.68,21.972217781029,0.82,2019-11-04 18:25:58,9.016425,106.658103,0.03,25.9,21.9992045143976,19.0966401411552
10.3,104.09,2.68,21.972217781029,0.82,2019-11-04 19:25:57,9.362721,106.777996,0.03,25.9,21.9992045143976,19.0966203935949
10.3,140.75,5.79,21.9741135000537,0.48,2019-11-04 20:41:28,9.798638,106.928917,0.03,39.36,21.9992045143976,5.64414809658862
10.3,140.75,5.79,21.4065532187229,0.48,2019-11-04 21:41:28,10.153504,106.963988,0.03,39.36,21.4297485140422,5.64406962176386
10.3,138.95,7.64,21.6508467059845,0.53,2019-11-04 22:38:48,10.4926,106.9975,0.47,171.97,21.4297485140422,5.64406962176386
