'draft', 'windDir', 'ws', 'stwC', 'swh', 'dt', 'lat', 'lon', 'currSpeed', 'currDir','sovg', 'vslHeading'
11.82,164.43,10.77,0,0.1,2019-10-18 16:00:00,29.412717,32.609517,0.03,249.05,0,155.948101431417
11.82,175.11,9.5,14.1107265933174,0.12,2019-10-18 16:59:59,29.194064,32.707105,0.03,249.05,14.1,155.948185556235
11.82,174.25,9.5,14.1109362448773,0.12,2019-10-18 18:28:03,28.87315,32.850333,0.03,248.19,14.1,156.808571043128
11.82,183.53,9.5,14.1088272097932,0.12,2019-10-18 18:57:35,28.765,32.896667,0.03,257.47,14.1,147.528843909571
11.82,214.24,6.61,14.1065085231492,0.08,2019-10-18 19:57:34,28.560175,33.027010,0.03,257.47,14.1,147.528717207788
11.82,214.24,6.61,14.1065085231492,0.08,2019-10-18 20:57:34,28.355351,33.157353,0.03,257.47,14.1,147.529093761831
11.82,224.4,6.61,14.1038745492024,0.08,2019-10-18 21:27:58,28.251667,33.223333,0.03,267.63,14.1,137.36614954257
11.82,236.7,6.61,14.098033614447,0.08,2019-10-18 22:02:32,28.146667,33.32,0.03,279.93,14.1,125.073869154726
11.82,232.24,6.61,14.0959834585515,0.08,2019-10-18 22:25:07,28.091667,33.398333,0.03,275.47,14.1,129.530893097551
11.82,200.75,6.47,14.0985701317324,0.74,2019-10-18 23:25:05,27.931466,33.592459,0,230.47,14.1,129.530947167733
11.82,196.88,6.47,14.1,0.74,2019-10-19 00:11:14,27.808333,33.741667,0,226.6,14.1,133.39672406941
11.82,196.88,6.47,14.1,0.74,2019-10-19 01:11:12,27.637075,33.922788,0,226.6,14.1,133.396772887646
11.82,180.14,7.52,14.1,0.66,2019-10-19 02:02:45,27.49,34.078333,0,213.29,14.1,146.712260026065
11.82,180.14,7.52,14.0609740369828,0.66,2019-10-19 03:02:41,27.288066,34.210917,0,213.29,14.0609740369828,146.712458292233
11.82,180.14,7.52,14.0609740369828,0.66,2019-10-19 04:02:38,27.086132,34.343500,0,213.29,14.0609740369828,146.712129850103
11.82,180.14,9.22,14.0609740369828,0.68,2019-10-19 05:02:38,26.884199,34.476084,0,213.29,14.0609740369828,146.712458292233
11.82,195.29,12.94,14.198039597701,0.27,2019-10-19 06:02:38,26.682265,34.608667,0.47,125.68,14.0609740369828,146.712260026065
11.82,184.32,9.29,13.8632875721357,0.95,2019-10-19 07:02:41,26.480331,34.741251,0.69,346,14.0609740369828,146.712433932485
11.82,189.02,8.88,13.520112362567,0.92,2019-10-19 08:08:30,26.259045,34.88654,0.47,28.71,14.0609740369828,148.900354272603
11.82,189.02,8.88,13.5127066720532,0.92,2019-10-19 09:08:26,26.055524,35.009310,0.47,28.71,13.9249259697545,148.900272374976
11.82,189.02,8.88,13.5127066720532,0.92,2019-10-19 10:08:22,25.852002,35.132081,0.47,28.71,13.9249259697545,148.900354272603
11.82,184.97,9.71,13.5127066720532,1.35,2019-10-19 11:08:20,25.648481,35.254851,0.47,28.71,13.9249259697545,148.900272374976
11.82,179.64,9.1,13.7188163209039,0.78,2019-10-19 12:08:20,25.444959,35.377622,0,211.1,13.9249259697545,148.900354272603
11.82,175,7.5,14.0545969573025,0.38,2019-10-19 13:08:21,25.241438,35.500392,0.47,123.49,13.9249259697545,148.900354272603
11.82,171.79,8.75,14.1842679448505,0.4,2019-10-19 14:08:23,25.037917,35.623162,0.47,123.49,13.9249259697545,148.900272374976
11.82,171.79,8.75,14.1842679448505,0.4,2019-10-19 15:08:27,24.834395,35.745933,0.47,123.49,13.9249259697545,148.900364044415
11.82,173.23,8.75,14.1891521352986,0.4,2019-10-19 15:52:10,24.686279,35.835281,0.47,124.93,13.9249259697545,147.461805340768
11.82,188.57,10.35,13.1525604028277,0.63,2019-10-19 16:52:07,24.496134,35.956595,0.47,30.15,13.2212128833538,147.461805340768
11.82,188.57,10.35,12.8147975663093,0.63,2019-10-19 17:52:05,24.305989,36.077909,0.47,30.15,13.2212128833538,147.462019495657
11.82,188.57,10.35,12.8147975663093,0.63,2019-10-19 18:52:05,24.115844,36.199222,0.47,30.15,13.2212128833538,147.461805340768
11.82,189.41,9.96,12.8147975663093,0.36,2019-10-19 19:52:06,23.925699,36.320536,0.47,30.15,13.2212128833538,147.461805340768
11.82,189.41,9.96,12.8147975663093,0.36,2019-10-19 20:52:08,23.735554,36.441850,0.47,30.15,13.2212128833538,147.461758483815
11.82,190.46,7.66,13.160966522316,0.85,2019-10-19 21:37:32,23.591788,36.533574,0.47,127.47,13.2212128833538,144.924195330459
11.82,189.9,7.8,13.1390679788812,0.99,2019-10-19 22:37:29,23.410181,36.661095,0.03,260.08,12.9935225870294,144.92425826199
11.82,189.9,7.8,12.9986907757641,0.99,2019-10-19 23:37:26,23.228575,36.788615,0.03,260.08,12.9935225870294,144.924195330459
11.82,189.9,7.8,12.9986907757641,0.99,2019-10-20 00:37:25,23.046968,36.916136,0.03,260.08,12.9935225870294,144.924195330459
11.82,196.94,7.21,12.9986907757641,1,2019-10-20 01:37:26,22.865361,37.043657,0.03,260.08,12.9935225870294,144.92425826199
11.82,196.94,7.21,12.9986907757641,1,2019-10-20 02:37:28,22.683755,37.171177,0.03,260.08,12.9935225870294,144.924201345979
11.82,190.31,8.82,12.8018580903519,0.66,2019-10-20 03:54:21,22.451285,37.334413,0.47,34.25,12.9935225870294,143.363611091262
11.82,173.62,9.44,12.3653429807506,0.41,2019-10-20 04:54:16,22.276640,37.464288,0.47,34.25,12.7538401628404,143.363822338647
