draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
12.46,158.77346276340086,5.83,20.306816603155738,1.22,2019-11-26 12:00:00,35.802233,14.29545,0.03,103.13346276340087,20.3,-58.13346276340087
12.46,158.77346276340086,5.83,20.293183396844263,1.22,2019-11-26 13:00:17.751718,35.981472,13.939662,0.03,283.13346276340087,20.3,121.86653723659913
12.46,138.72422646985532,5.6,20.29321360525919,1.07,2019-11-26 14:00:29.627960,36.160711,13.583874,0.03,283.0742264698554,20.3,121.92577353014465
12.46,116.81454542126683,4.11,20.293244047819147,0.97,2019-11-26 15:00:35.607034,36.33995,13.228086,0.03,283.0145454212668,20.3,121.98545457873318
12.46,125.63441688514544,3.61,19.87841710224845,0.86,2019-11-26 16:00:35.667370,36.519189,12.872298,0.51,325.7544168851454,20.3,122.04558311485457
12.46,101.89376603013355,3.71,19.87872114218258,0.79,2019-11-26 17:00:29.780260,36.698428,12.516511,0.51,325.69376603013353,20.3,122.10623396986645
12.46,77.23179608047897,5.97,20.293352628019324,0.79,2019-11-26 18:13:51.200937,36.918333,12.08,0.03,282.801796080479,20.3,122.19820391952103
12.46,71.20755227253852,5.97,20.29645955214512,0.79,2019-11-26 19:13:55.917764,37.127742,11.74719,0.03,276.7775522725385,20.3,128.22244772746149
12.46,130.34754701046592,2.91,20.3,0.56,2019-11-26 20:27:35.969892,37.385,11.338333,0.0,231.6675470104659,20.3,128.3324529895341
12.46,137.95634149443177,2.91,20.3,0.56,2019-11-26 20:53:03.529531,37.458333,11.183333,0.0,239.27634149443176,20.3,120.72365850556824
12.46,135.74279352876005,6.14,19.344938793362836,0.85,2019-11-26 21:53:12.117786,37.5406,10.769852,0.99,344.73279352876006,20.3,104.14720647123993
12.46,149.77345103957148,7.53,19.22018611465267,0.74,2019-11-26 23:13:05.084771,37.65,10.22,1.1,10.993451039571497,20.3,104.2065489604285
12.46,163.9255338342872,7.53,19.304245465173828,0.74,2019-11-26 23:38:12.050115,37.65,10.041667,1.1,25.145533834287193,20.3,90.05446616571281
12.46,160.2407887767581,7.53,19.276265012259852,0.74,2019-11-27 00:38:19.929282,37.671369,9.615499,1.1,21.460788776758122,20.3,93.73921122324188
12.46,178.6595201304619,6.33,19.3460636365474,0.8,2019-11-27 01:38:26.787271,37.692739,9.18933,1.11,329.2495201304619,20.3,93.74047986953806
12.46,178.69394587513597,6.33,19.345722804562556,0.8,2019-11-27 02:22:18.243359,37.708333,8.878333,1.11,329.283945875136,20.3,93.70605412486401
12.46,164.45940674720111,6.49,20.40891154666696,0.68,2019-11-27 03:22:51.848709,37.793374,8.461285,0.51,257.6694067472011,20.3,104.5305932527989
12.46,164.44296976847744,6.49,20.409054475586068,0.68,2019-11-27 04:23:21.555149,37.878416,8.044237,0.51,257.6529697684774,20.3,104.54703023152256
12.46,151.67682563657942,6.98,20.409194849298085,1.03,2019-11-27 05:23:47.358302,37.963457,7.627188,0.51,257.63682563657943,20.3,104.56317436342059
12.46,141.08022523197587,5.85,20.2848098540831,1.07,2019-11-27 06:24:09.239932,38.048499,7.21014,0.03,300.4202252319759,20.3,104.57977476802412
12.46,141.06391779141876,5.85,20.284817217793762,1.07,2019-11-27 07:24:27.195672,38.13354,6.793092,0.03,300.40391779141873,20.3,104.59608220858125
12.46,155.9772185792183,10.24,19.811799951472153,1.24,2019-11-27 08:24:41.223628,38.218582,6.376044,0.51,343.1872185792183,20.3,104.61278142078167
12.46,155.9608125804781,10.24,19.8118422107742,1.24,2019-11-27 09:24:51.319403,38.303623,5.958995,0.51,343.1708125804781,20.3,104.6291874195219
12.46,155.94394759396084,10.24,19.811885694076626,1.24,2019-11-27 10:24:57.464909,38.388665,5.541947,0.51,343.1539475939609,20.3,104.64605240603913
12.46,157.71737593414406,10.44,20.162172541350024,1.16,2019-11-27 11:24:59.655760,38.473706,5.124899,0.47,72.94737593414409,20.3,104.66262406585592
12.46,153.96041003169813,8.49,20.162039493878464,1.0,2019-11-27 12:24:57.890129,38.558748,4.707851,0.47,72.93041003169814,20.3,104.67958996830187
12.46,169.4737045737371,6.97,20.28486249657997,1.01,2019-11-27 13:24:52.155525,38.643789,4.290803,0.03,300.3037045737371,20.3,104.69629542626292
12.46,171.86663678356777,8.42,20.28487021284455,0.9,2019-11-27 14:24:42.458220,38.728831,3.873754,0.03,300.2866367835678,20.3,104.71336321643221
12.46,2.229763218241345,8.11,20.284877842620784,1.03,2019-11-27 15:24:28.769608,38.813872,3.456706,0.03,300.26976321824134,20.3,104.73023678175863
12.46,2.2125260543671175,8.11,20.284885638160816,1.03,2019-11-27 16:24:11.095994,38.898914,3.039658,0.03,300.25252605436714,20.3,104.74747394563285
12.46,170.8328604649954,8.48,20.284862878165843,1.05,2019-11-27 16:55:05.085620,38.942963,2.823637,0.03,300.30286046499543,20.3,104.69713953500455
