draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
12.97,30.33691745308562,17.51,17.226947953163954,2.95,2019-12-22 16:00:00,35.7719,14.967833,0.47,93.28691745308562,17.2,84.32308254691439
12.97,37.49691745308559,17.96,17.226947953163954,0.58,2019-12-22 17:00:21.078848,35.799948,15.320566,0.47,93.28691745308562,17.2,84.32308254691439
12.97,28.75915814778503,18.41,16.65073706999024,0.94,2019-12-22 18:00:40.898467,35.827997,15.673299,0.71,320.6791581477851,17.2,84.32084185221495
12.97,28.76099103116067,18.41,16.65072267802995,0.94,2019-12-22 19:00:59.465724,35.856045,16.026033,0.71,320.6809910311607,17.2,84.31900896883931
12.97,32.79325266935143,17.78,17.130050940740635,1.14,2019-12-22 20:01:16.761877,35.884094,16.378766,0.51,277.88325266935146,17.2,84.31674733064857
12.97,33.3251062270856,16.32,17.176789733825355,0.79,2019-12-22 21:01:32.793793,35.912142,16.731499,0.03,320.6851062270856,17.2,84.31489377291437
12.97,33.32735798325149,16.32,17.176788986839465,0.79,2019-12-22 22:01:47.563056,35.940191,17.084232,0.03,320.6873579832515,17.2,84.31264201674848
12.97,40.659216809570864,14.54,16.74188386024295,1.5,2019-12-22 23:02:01.066369,35.968239,17.436965,0.69,48.399216809570845,17.2,84.31078319042916
12.97,42.94147411967009,16.11,16.74190418869734,1.14,2019-12-23 00:02:13.305317,35.996288,17.789698,0.69,48.401474119670084,17.2,84.30852588032992
12.97,42.94332277693553,16.11,16.74192083751329,1.14,2019-12-23 01:02:24.286744,36.024336,18.142432,0.69,48.40332277693555,17.2,84.30667722306445
12.97,32.265601108932856,14.5,16.741941356591415,3.06,2019-12-23 02:02:33.991957,36.052385,18.495165,0.69,48.405601108932885,17.2,84.30439889106712
12.97,34.197470516797296,16.55,17.22711627182973,1.72,2019-12-23 03:02:42.427799,36.080433,18.847898,0.47,93.30747051679731,17.2,84.3025294832027
12.97,34.19973898149394,16.55,17.22713484913626,1.72,2019-12-23 04:02:49.595859,36.108482,19.200631,0.47,93.30973898149395,17.2,84.30026101850606
12.97,40.02161370243704,16.74,17.227150201895704,4.76,2019-12-23 05:02:55.492838,36.13653,19.553364,0.47,93.31161370243707,17.2,84.29838629756294
12.97,40.02387228814581,16.74,17.227168698222226,4.76,2019-12-23 06:03:00.130451,36.164579,19.906098,0.47,93.31387228814583,17.2,84.29612771185418
12.97,40.025767816924116,16.74,17.227184221319487,4.76,2019-12-23 07:03:03.485153,36.192627,20.258831,0.47,93.31576781692414,17.2,84.29423218307588
12.97,52.33804749898013,17.85,17.176782125085168,4.82,2019-12-23 08:03:05.568661,36.220676,20.611564,0.03,320.70804749898014,17.2,84.29195250101985
12.97,52.33993289103711,17.85,17.17678149993843,4.82,2019-12-23 09:03:06.377674,36.248724,20.964297,0.03,320.7099328910371,17.2,84.2900671089629
12.97,52.34221820547981,17.85,17.176780742221585,4.82,2019-12-23 10:03:05.913788,36.276773,21.31703,0.03,320.7122182054798,17.2,84.2877817945202
12.97,53.04410895569703,18.21,17.17678011535403,3.11,2019-12-23 11:03:04.173701,36.304821,21.669763,0.03,320.71410895569704,17.2,84.28589104430297
12.97,53.04638440618305,18.21,17.176779360974805,3.11,2019-12-23 12:03:01.169113,36.33287,22.022497,0.03,320.71638440618307,17.2,84.28361559381692
12.97,53.048296041964335,18.21,17.176778727239235,3.11,2019-12-23 13:02:56.876520,36.360918,22.37523,0.03,320.7182960419643,17.2,84.28170395803565
12.97,47.51059266893043,16.24,17.17677796590757,3.35,2019-12-23 14:02:51.307624,36.388967,22.727963,0.03,320.7205926689304,17.2,84.27940733106958
12.97,47.47301373506849,16.24,17.176790428009916,3.35,2019-12-23 14:40:22.432700,36.406538,22.948937,0.03,320.68301373506847,17.2,84.31698626493153
12.97,23.540524292805117,16.24,17.18649680162969,3.35,2019-12-23 15:08:44.194037,36.363937,23.108279,0.03,296.7505242928051,17.2,108.2494757071949
12.97,57.07435271635575,16.24,17.173945114781173,3.35,2019-12-23 15:32:06.195893,36.393333,23.241667,0.03,330.2843527163557,17.2,74.71564728364427
12.97,2.4215269137971056,2.15,17.2,1.26,2019-12-23 16:32:01.581573,36.646234,23.408955,0.0,331.9515269137971,17.2,28.048473086202893
12.97,141.8130905043406,9.38,17.171311330474143,2.25,2019-12-23 17:13:34.182552,36.821667,23.525,0.03,17.00309050434058,17.2,27.99690949565942
12.97,157.54245709847703,9.38,17.17476386170432,2.25,2019-12-23 18:13:26.868486,37.101555,23.600985,0.03,32.73245709847703,17.2,12.267542901522974
12.97,157.58677884902386,9.38,17.174776417571188,2.25,2019-12-23 19:13:19.122111,37.381443,23.676971,0.03,32.77677884902384,17.2,12.223221150976158
12.97,157.51392118868915,6.28,17.2,0.76,2019-12-23 20:16:06.341813,37.675,23.756667,0.0,347.82392118868916,17.2,12.176078811310825
12.97,23.02615637629569,6.28,17.2,0.76,2019-12-23 21:02:43.484659,37.8612,23.6021,0.0,213.3361563762957,17.2,146.6638436237043
