draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
11.29,220.2237170159067,4.75,16.188498978902924,1.19,2019-11-30 15:42:00,35.954483,-5.768333,0.51,163.30371701590667,15.7,-75.50371701590666
11.29,7.693717015906657,6.2,14.746544757904264,1.18,2019-11-30 16:42:17.968360,36.019995,-6.082189,0.99,344.38371701590665,15.7,104.49628298409334
11.29,7.681946701083746,6.2,14.746599525645006,1.18,2019-11-30 17:42:33.120348,36.085507,-6.396044,0.99,344.37194670108374,15.7,104.50805329891627
11.29,173.66043883531609,8.3,15.68478267497818,1.51,2019-11-30 18:42:45.469878,36.151018,-6.7099,0.03,300.4804388353161,15.7,104.5195611646839
11.29,157.22842895347733,9.72,15.211591355704506,1.63,2019-11-30 19:42:55.008701,36.21653,-7.023756,0.51,343.2684289534773,15.7,104.53157104652266
11.29,157.2165498533535,9.72,15.211621806929408,1.63,2019-11-30 20:43:01.718310,36.282042,-7.337611,0.51,343.2565498533535,15.7,104.54345014664649
11.29,179.60472193793453,10.58,15.563014633831468,1.76,2019-11-30 21:43:05.615977,36.347554,-7.651467,0.47,73.05472193793452,15.7,104.5552780620655
11.29,28.65302538625724,9.82,15.091576686448333,2.06,2019-11-30 22:43:06.683238,36.413065,-7.965323,0.69,28.143025386257236,15.7,104.56697461374277
11.29,28.64086884009282,9.82,15.091507647747253,2.06,2019-11-30 23:43:04.922688,36.478577,-8.279179,0.69,28.130868840092788,15.7,104.57913115990722
11.29,42.20884311912977,11.89,15.562733123192293,2.55,2019-12-01 00:43:00.315868,36.544089,-8.593034,0.47,73.01884311912977,15.7,104.59115688087024
11.29,42.22922488351608,11.89,15.56289303500197,2.55,2019-12-01 01:23:26.903849,36.588333,-8.805,0.47,73.03922488351608,15.7,104.57077511648393
11.29,52.57338114230373,13.17,15.551749111142357,3.01,2019-12-01 02:03:45.880217,36.636667,-9.015,0.47,71.61338114230375,15.7,105.99661885769626
11.29,51.4185004535741,13.17,15.542789920732893,3.01,2019-12-01 02:40:07.012966,36.683333,-9.203333,0.47,70.45850045357413,15.7,107.15149954642588
11.29,21.738196080157962,13.17,15.344095479721021,3.01,2019-12-01 03:33:01.221845,36.851667,-9.4,0.47,40.77819608015798,15.7,136.83180391984203
11.29,174.37639485939405,13.17,15.242826523226823,3.01,2019-12-01 04:06:44.379680,36.993333,-9.45,0.47,13.416394859394075,15.7,164.19360514060594
11.29,174.97080692642942,13.17,15.243982463073099,3.01,2019-12-01 04:26:14.168988,37.075,-9.48,0.47,14.010806926429439,15.7,163.59919307357058
11.29,3.9134405085920037,12.07,15.237145257731417,2.82,2019-12-01 05:26:07.820131,37.330416,-9.55029,0.47,10.003440508592035,15.7,167.60655949140798
