draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
12.4,128.66809955490857,4.76,15.788481495956772,0.29,2019-11-28 15:00:00,39.2259,-0.03885,0.69,176.19809955490857,15.1,-43.48809955490856
12.4,128.66809955490857,4.76,14.411518504043228,0.29,2019-11-28 16:02:49.004530,39.416995,-0.272829,0.69,356.1980995549086,15.1,136.51190044509144
12.4,179.59238975977328,4.76,14.63050015531083,0.29,2019-11-28 16:05:38.985652,39.417909,-0.257541,0.69,47.122389759773284,15.1,85.58761024022672
12.4,8.71036095245529,4.76,14.716560026942082,0.29,2019-11-28 16:07:54.882923,39.420133,-0.245622,0.69,56.240360952455276,15.1,76.46963904754473
12.4,143.6867774237759,6.67,15.101791328970801,0.26,2019-11-28 17:07:50.897026,39.231713,-0.030923,0.03,266.57677742377587,15.1,138.4232225762241
12.4,143.76335101637676,6.67,15.101751305082713,0.26,2019-11-28 18:07:51.071097,39.043293,0.183775,0.03,266.65335101637675,15.1,138.34664898362325
12.4,143.79948579565612,6.67,15.101732416875528,0.26,2019-11-28 18:45:01.554296,38.926667,0.316667,0.03,266.6894857956561,15.1,138.3105142043439
12.4,108.21238525978222,5.9,15.113804884721958,0.32,2019-11-28 19:35:24.666813,38.725,0.398333,0.03,242.6023852597822,15.1,162.3976147402178
12.4,55.59629669913406,5.9,15.070454522323473,0.32,2019-11-28 20:02:32.647657,38.631667,0.315,0.03,9.986296699134044,15.1,35.013703300865956
12.4,27.43426516063468,6.1,15.070664777010021,0.23,2019-11-28 21:02:23.288716,38.420605,0.141438,0.03,12.084265160634686,15.1,32.915734839365314
12.4,27.35751026533157,6.1,15.070656389814884,0.23,2019-11-28 22:02:16.940353,38.209542,-0.032125,0.03,12.007510265331575,15.1,32.992489734668425
12.4,53.50129565934108,4.68,15.070648113763673,0.31,2019-11-28 23:02:13.558483,37.99848,-0.205687,0.03,11.931295659341089,15.1,33.06870434065891
12.4,53.425512171369235,4.68,15.070639936023005,0.31,2019-11-29 00:02:13.171374,37.787417,-0.37925,0.03,11.855512171369242,15.1,33.14448782863076
12.4,2.458264776244704,1.34,15.213743459216138,0.36,2019-11-29 01:03:35.785986,37.571667,-0.556667,0.69,99.4882647762447,15.1,33.2217352237553
12.4,171.62740929506603,3.69,15.024970555086227,0.35,2019-11-29 02:03:23.438623,37.406532,-0.794064,0.69,83.75740929506603,15.1,48.95259070493398
12.4,171.56471627989615,3.69,15.024220079301797,0.35,2019-11-29 03:03:15.514961,37.241397,-1.03146,0.69,83.69471627989614,15.1,49.01528372010387
12.4,171.50200531517416,3.69,15.02346947941793,0.35,2019-11-29 04:03:12.010201,37.076263,-1.268857,0.69,83.63200531517415,15.1,49.07799468482585
12.4,35.200269187664304,0.86,15.1,0.25,2019-11-29 05:03:12.913104,36.911128,-1.506253,0.0,310.86026918766436,15.1,49.13973081233567
12.4,35.138511571785756,0.86,15.1,0.25,2019-11-29 06:03:18.218808,36.745993,-1.74365,0.0,310.79851157178575,15.1,49.20148842821422
12.4,35.07738177223251,0.86,15.1,0.25,2019-11-29 07:03:27.897026,36.580858,-1.981046,0.0,310.73738177223254,15.1,49.26261822776746
12.4,48.6154018873863,2.04,14.700899774254713,0.72,2019-11-29 07:46:19.545988,36.463333,-2.15,0.51,38.50540188738627,15.1,49.29459811261373
12.4,19.23217481110862,2.04,14.596450213821665,0.72,2019-11-29 08:46:14.578955,36.413534,-2.455307,0.51,9.122174811108579,15.1,78.67782518889142
12.4,28.745319835381622,1.27,14.596440543719563,0.79,2019-11-29 09:46:11.819286,36.363734,-2.760614,0.51,9.115319835381598,15.1,78.6846801646184
12.4,9.827999468013047,1.31,14.509257578365645,0.76,2019-11-29 10:46:11.270098,36.313935,-3.065922,0.71,326.30799946801307,15.1,78.69200053198693
12.4,9.821215486213504,1.31,14.509304216293657,0.76,2019-11-29 11:46:12.911817,36.264135,-3.371229,0.71,326.30121548621355,15.1,78.69878451378648
12.4,10.85396655964729,3.1,14.790444525370058,0.87,2019-11-29 12:46:16.747564,36.214336,-3.676536,1.08,73.34396655964731,15.1,78.7060334403527
12.4,6.407180099725508,3.09,14.694400702665055,0.86,2019-11-29 13:46:22.780411,36.164536,-3.981843,0.69,53.9971800997255,15.1,78.71281990027451
12.4,6.399965793649386,3.09,14.694330420801593,0.86,2019-11-29 14:46:31.002154,36.114737,-4.28715,0.69,53.98996579364939,15.1,78.72003420635062
12.4,23.493176800432053,3.34,15.075049171635825,1.02,2019-11-29 15:46:41.427220,36.064937,-4.592458,0.03,326.273176800432,15.1,78.72682319956797
12.4,20.87603349433428,3.72,15.075051248529991,1.01,2019-11-29 16:46:54.024675,36.015138,-4.897765,0.03,326.26603349433424,15.1,78.73396650566573
12.4,20.86931489535587,3.72,15.075053202295772,1.01,2019-11-29 17:47:08.808936,35.965338,-5.203072,0.03,326.2593148953558,15.1,78.74068510464414
12.4,59.94377966020133,3.14,14.596340054379269,1.28,2019-11-29 18:52:51.919077,35.91105,-5.5359,0.51,9.043779660201338,15.1,78.75622033979866
