Basis,Coeff
(Intercept),1586.31
h(x3-12.0812),260.503
h(12.0812-x3),-281.137
h(2.50333-x4),-165.466
h(x0-10.26),15.7223
h(10.26-x0),-21.4703
h(x4-0.270667),-274.721
h(0.270667-x4),259.359
h(x4-0.702),88.5987
h(11.4464-x3),-7.31618
h(5.81129-x3),9.06791
h(11.977-x3),29.1871
h(x4-0.471333),39.687
h(x2-9.67933),-6.22529
h(x4-2.54467),124.864
h(2.156-x4),321.536
h(x4-2.016),-54.0331
h(2.17-x4),-248.335
h(1.59467-x4),10.276
h(5.01933-x2),3.54825
h(x3-8.58731),-3.58809
h(x2-2.94067),-2.00528
h(9.894-x2),5.471
h(2.30333-x4),-48.1452
h(x3-13.4764),-8.32267
h(x0-7.56933),25.3178
h(x0-9.01667),-15.8809
h(x0-5.496),-33.3362
h(10.4474-x3),2.93874
h(x3-7.54387),-240.467
h(x4-2.44),57.4801
h(0.581333-x4),223.392
h(0.675333-x4),-184.098
h(7.37621-x3),-75.2043
h(7.52719-x3),297.742
h(7.18872-x3),16.704
h(0.144-x4),-279.313
h(0.11-x4),123.122
h(x4-0.176),180.926
h(x3-6.14067),-12.6119
h(6.68442-x3),8.60648
h(x4-0.546),-165.049
h(x2-5.626),8.03733
h(5.626-x2),-9.70336
