clusters,error,models,partitioners,var
1,6.79827922604,SplineRegressionModeler,KMeansPartitioner,48.8776753839
2,6.51762323536,SplineRegressionModeler,KMeansPartitioner,48.8776753839
3,5.71034404287,SplineRegressionModeler,KMeansPartitioner,48.8776753839
4,5.84915922658,SplineRegressionModeler,KMeansPartitioner,48.8776753839
5,5.43731586145,SplineRegressionModeler,KMeansPartitioner,48.8776753839
6,5.43731586145,SplineRegressionModeler,KMeansPartitioner,48.8776753839
7,5.43731586145,SplineRegressionModeler,KMeansPartitioner,48.8776753839
8,6.34710290306,SplineRegressionModeler,KMeansPartitioner,48.8776753839
9,6.34710290306,SplineRegressionModeler,KMeansPartitioner,48.8776753839
10,6.34710290306,SplineRegressionModeler,KMeansPartitioner,48.8776753839
11,6.38651202735,SplineRegressionModeler,KMeansPartitioner,48.8776753839
12,6.35169286603,SplineRegressionModeler,KMeansPartitioner,48.8776753839
13,6.35169286603,SplineRegressionModeler,KMeansPartitioner,48.8776753839
14,5.92248033115,SplineRegressionModeler,KMeansPartitioner,48.8776753839
15,5.93369838964,SplineRegressionModeler,KMeansPartitioner,48.8776753839
16,5.93239099389,SplineRegressionModeler,KMeansPartitioner,48.8776753839
17,5.72847290085,SplineRegressionModeler,KMeansPartitioner,48.8776753839
18,5.18339531655,SplineRegressionModeler,KMeansPartitioner,48.8776753839
19,5.21960867495,SplineRegressionModeler,KMeansPartitioner,48.8776753839
20,5.48315810267,SplineRegressionModeler,KMeansPartitioner,48.8776753839
21,5.23188661118,SplineRegressionModeler,KMeansPartitioner,48.8776753839
22,5.50819577233,SplineRegressionModeler,KMeansPartitioner,48.8776753839
23,5.29497087991,SplineRegressionModeler,KMeansPartitioner,48.8776753839
24,5.29497087991,SplineRegressionModeler,KMeansPartitioner,48.8776753839
25,5.236011793,SplineRegressionModeler,KMeansPartitioner,48.8776753839
26,5.22426819215,SplineRegressionModeler,KMeansPartitioner,48.8776753839
27,5.236011793,SplineRegressionModeler,KMeansPartitioner,48.8776753839
28,5.22426819215,SplineRegressionModeler,KMeansPartitioner,48.8776753839
