clusters,error,models,partitioners,var
1,1.62231069269,LinearRegressionModeler,KMeansPartitioner,49.5168263401
2,1.74657316925,LinearRegressionModeler,KMeansPartitioner,49.5168263401
3,1.84614640131,LinearRegressionModeler,KMeansPartitioner,49.5168263401
4,1.45282116887,LinearRegressionModeler,KMeansPartitioner,49.5168263401
5,1.48247149036,LinearRegressionModeler,KMeansPartitioner,49.5168263401
6,1.39874674906,LinearRegressionModeler,KMeansPartitioner,49.5168263401
7,1.0562422471,LinearRegressionModeler,KMeansPartitioner,49.5168263401
8,1.0562422471,LinearRegressionModeler,KMeansPartitioner,49.5168263401
9,3.66527607547,LinearRegressionModeler,KMeansPartitioner,49.5168263401
10,3.67106684957,LinearRegressionModeler,KMeansPartitioner,49.5168263401
11,3.68281307729,LinearRegressionModeler,KMeansPartitioner,49.5168263401
1,2.5263107599,SplineRegressionModeler,KMeansPartitioner,49.5168263401
2,2.18153693846,SplineRegressionModeler,KMeansPartitioner,49.5168263401
3,2.53408980768,SplineRegressionModeler,KMeansPartitioner,49.5168263401
4,1.86261159608,SplineRegressionModeler,KMeansPartitioner,49.5168263401
5,1.83363898904,SplineRegressionModeler,KMeansPartitioner,49.5168263401
6,1.75925052808,SplineRegressionModeler,KMeansPartitioner,49.5168263401
7,1.14544748631,SplineRegressionModeler,KMeansPartitioner,49.5168263401
8,1.14544748631,SplineRegressionModeler,KMeansPartitioner,49.5168263401
9,3.31302277514,SplineRegressionModeler,KMeansPartitioner,49.5168263401
10,3.30216544835,SplineRegressionModeler,KMeansPartitioner,49.5168263401
11,3.27933644494,SplineRegressionModeler,KMeansPartitioner,49.5168263401
1,2.52868572176,RandomForestModeler,KMeansPartitioner,49.5168263401
2,2.38876054087,RandomForestModeler,KMeansPartitioner,49.5168263401
3,2.62487916899,RandomForestModeler,KMeansPartitioner,49.5168263401
4,2.0859087163,RandomForestModeler,KMeansPartitioner,49.5168263401
5,2.11431048414,RandomForestModeler,KMeansPartitioner,49.5168263401
6,2.05078250515,RandomForestModeler,KMeansPartitioner,49.5168263401
7,1.16040223291,RandomForestModeler,KMeansPartitioner,49.5168263401
