clusters,error,models,partitioner
1,3.264,AN,KMeansPartitioner
1,7.105,AN,KMeansPartitioner
1,2.866,AN,KMeansPartitioner
1,6.257,AN,KMeansPartitioner
1,1.018,AN,KMeansPartitioner
7,1.108,LR,KMeansPartitioner
1,2.512,LR,KMeansPartitioner
4,1.113,LR,KMeansPartitioner
1,1.492,LR,KMeansPartitioner
4,0.767,LR,KMeansPartitioner
8,1.269,RF,KMeansPartitioner
2,5.861,RF,KMeansPartitioner
4,2.696,RF,KMeansPartitioner
7,4.576,RF,KMeansPartitioner
2,1.129,RF,KMeansPartitioner
7,1.205,SP,KMeansPartitioner
2,2.611,SP,KMeansPartitioner
1,2.219,SP,KMeansPartitioner
1,4.252,SP,KMeansPartitioner
2,0.837,SP,KMeansPartitioner
6,1.226,NN1,KMeansPartitioner
2,1.146,NN1,KMeansPartitioner
1,2.013,NN1,KMeansPartitioner
1,1.548,NN1,KMeansPartitioner
2,0.944,NN1,KMeansPartitioner
6,1.647,NN2,KMeansPartitioner
2,1.983,NN2,KMeansPartitioner
3,1.551,NN2,KMeansPartitioner
1,1.487,NN2,KMeansPartitioner
4,1.448,NN2,KMeansPartitioner
