FOC,PRED,PERC
83.9,51.39541,38.742065
83.8,51.37153,38.697464
83.8,51.348015,38.72552
74.2,51.399014,30.729088
78.2,51.39589,34.276356
29.9,51.3472,71.72976
46.1,51.377666,11.448304
83.9,51.396324,38.740974
84.1,51.39613,38.886883
29.9,51.392067,71.87982
45.9,51.39826,11.978772
83.9,51.388985,38.74972
83.8,51.397423,38.66656
76.5,51.38175,32.834316
84.1,51.393078,38.890514
52.1,51.401333,1.3410089
78.1,51.37503,34.21891
45.8,51.39196,12.209522
51.9,51.350224,1.0593024
83.9,51.385963,38.753323
46.0,51.367424,11.668313
51.8,51.33722,0.89339775
30.0,51.35702,71.19007
46.3,51.396706,11.008005
30.0,51.236008,70.78669
21.7,51.32498,136.52065
29.9,50.62109,69.30131
83.8,51.13282,38.982315
45.7,50.708916,10.960426
29.9,51.112877,70.94608
29.9,51.246765,71.39387
83.8,51.319405,38.759663
83.9,51.362534,38.78125
29.9,51.347004,71.72911
83.9,51.324265,38.826862
82.0,51.373608,37.34926
73.2,51.386997,29.799181
84.1,51.323826,38.97286
29.9,51.33088,71.67518
83.9,51.385635,38.75371
