001;V1.19;5/19/2019 12:04:23 AM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
5/19/2019 12:04:23 AM;9.68666666666667;4.84333333333333;10.2295333333333;3955.97105233333;S;7745.32467599999;W;731.213228489984;3418233.10202866;1494620.74755832;379598.231587001;81.7725789749016;486909.755518779;279574.616939131;534969.029038123;16.8095371402286;109247.913224954;96675.4982800553;248192.306332756;79.99305;440.80244325;3693.06046309123;60.5419748047743;80.8010606060605;198.337954528758;31.4468886743481;81.0795122385959
5/19/2019 12:09:23 AM;10.1793333333333;5.09816360601002;10.6547157190636;3956.80075266666;S;7745.258909;W;744.791912313253;3418294.50706005;1494620.74755832;379603.242503667;81.7689567804337;486916.506317357;279574.616939131;534974.03995479;0;109247.913224954;96675.4982800553;248192.306332756;81.0637037037037;445.235696790123;3779.63597275381;61.9612454549805;81.8825289936401;197.181671685371;27.8168703644469;77.6000808357337
5/19/2019 12:14:23 AM;10.313;5.1565;10.9105;3957.65810866666;S;7745.18376733333;W;745.207029094627;3418357.11094394;1494620.74755832;379608.244303668;82.0006531476974;486923.361506539;279574.616939131;534979.041771457;0;109247.913224954;96675.4982800553;248192.306332756;81.1850246305419;445.149621428571;3784.50650093468;62.041090179257;82.0050753843856;197.022523241215;25.0843261266715;75.8108781112565
5/19/2019 12:19:23 AM;10.4583333333333;5.22916666666666;10.9568666666667;3958.507983;S;7745.11060766665;W;755.020408919409;3418419.17012525;1494620.74755832;379613.251570334;82.8698390722275;486930.191434353;279574.616939131;534984.049021457;0;109247.913224954;96675.4982800553;248192.306332756;82.1056934306569;448.826847201947;3858.60333240641;63.2557923345313;82.9350438693504;195.700860960209;25.9808297023111;76.5277729293348
5/19/2019 12:24:23 AM;10.4413333333333;5.22066666666665;11.0431666666667;3959.38738133333;S;7745.03352066666;W;747.553097714113;3418482.52200458;1494620.74755832;379618.259887001;86.0787498950958;486937.227996555;279574.616939131;534989.057338124;0;109247.913224954;96675.4982800553;248192.306332756;81.498574938575;446.411906142506;3809.44893689976;62.4499825721271;82.3217928672475;196.455027502671;23.8399140410437;75.4934335071756
5/19/2019 12:29:23 AM;10.052;5.026;10.5627333333333;3991.297449;S;7744.95233;W;736.450547862826;3418544.25047137;1494620.74755832;379623.262003669;88.2437592744827;486944.51993289;279574.616939131;534994.059454791;0;109247.913224954;96675.4982800553;248192.306332756;80.7008910891089;443.786483168316;3750.26279650995;61.479717975573;81.5160516051605;196.502581607058;28.2578821345825;78.0666126092664
5/19/2019 12:34:23 AM;10.0613333333333;5.03066666666665;10.6617;4001.06104266667;S;7744.87941700002;W;748.699001556059;3418605.89891788;1494620.74755832;379628.274503668;87.2365915775299;486951.936396262;279574.616939131;534999.071954791;0;109247.913224954;96675.4982800553;248192.306332756;81.5158823529411;447.694337745098;3821.10710216167;62.6411000354372;82.3392751039809;196.017798585443;28.4488924783093;78.4409166808099
5/19/2019 12:39:23 AM;10.369;5.1845;11.2274666666667;4001.90727633333;S;7744.79260799999;W;762.950236404591;3418669.10064234;1494620.74755832;379633.287887002;81.6902410984039;486958.914921094;279574.616939131;535004.085338125;0;109247.913224954;96675.4982800553;248192.306332756;82.6394673123487;449.723847699758;3891.35436283562;63.792694472715;83.4742094064128;196.028497597869;23.7554390648429;75.2308385344935
5/19/2019 12:44:23 AM;10.6173333333333;5.30866666666664;11.3752666666667;4002.78358633333;S;7744.71903600001;W;767.153313521045;3418733.01700613;1494620.74755832;379638.296687002;82.981840968132;486965.779850092;279574.616939131;535009.094138125;0;109247.913224954;96675.4982800553;248192.306332756;83.0129638554217;450.125917831325;3912.39733794548;64.1376612777948;83.8514786418402;196.207171018972;22.5416226101844;74.735107913
5/19/2019 12:49:23 AM;10.024;5.012;10.8654333333333;4003.64289566667;S;7744.68536133333;W;743.473768685794;3418796.00247332;1494620.74755832;379643.298637002;86.0441905260086;486972.800659433;279574.616939131;535014.096088126;0;109247.913224954;96675.4982800553;248192.306332756;81.2871428571428;446.1158;3797.07242653024;62.2470889595121;82.1082251082251;196.018623429789;25.7187426032483;76.3713792150352
