001;V1.19;6/20/2019 3:31:48 PM
UTC;'Richtungswinkel' [°];'Speed over gnd.' [kn];'SpeedThrWater' [kn];'Latitude' [°];'Latitude dir' [];'Latitude' [°];'Longitude dir' [];'MainEngine FlowRateHr' [kg/h];'MainEngine kg total HFO' [kg];'MainEngine kg total DFO' [kg];'MainEngine running Time' [min];'AuxEngine FlowRateHr' [kg/h];'AuxEngine kg total HFO' [kg];'AuxEngine kg total DFO' [kg];'AuxEngine running Time' [min];'Boiler FlowRateHr' [kg/h];'Boiler kg total HFO' [kg];'Boiler kg total DFO' [kg];'Boiler running Time' [min];'SHP-Speed' [rpm];'SHP-Torque' [kNm];'SP-Power' [kW];'Engine load' [%];'SP-Speed' [%];'SFOC' [g/kWh];'Propeller slip' [%];'Efficiency' [kg/nm]
6/20/2019 3:31:48 PM;0.0782456140350879;0.0391915641476275;2.59482394366197;3302.32074355972;S;6034.73594051522;W;1.52808763512169;3582931.93554289;1494620.74755832;393577.522187718;72.1146050366488;545629.024804887;279574.616939131;581032.785891329;0;132244.397369872;96675.4982800553;274637.31761468;0;5.758675;0;;;;;28.4551381700388
6/20/2019 3:36:48 PM;0.085666666666667;0.0428333333333335;2.68016666666667;3302.32047777778;S;6034.73486699998;W;0;3582931.93554289;1494620.74755832;393577.522187718;72.9853177070618;545634.994206033;279574.616939131;581037.78769133;0;132244.397369872;96675.4982800553;274637.31761468;0;5.83118979591837;0;;;;;27.4102048619921
6/20/2019 3:41:48 PM;0.016;0.008;2.69973333333334;3302.32053899999;S;6034.73515800001;W;0;3582931.93554289;1494620.74755832;393577.522187718;77.2767555713654;545641.098721353;279574.616939131;581042.789424664;0;132244.397369872;96675.4982800553;274637.31761468;0;5.7304;0;;;;;28.6327080037358
6/20/2019 3:46:48 PM;0.00233333333333333;0.00116666666666667;2.6214;3302.32019444444;S;6034.73449066666;W;0;3582931.93554289;1494620.74755832;393577.522187718;75.6839239597321;545647.502609128;279574.616939131;581047.791174664;33.2969945462502;132245.804935883;96675.4982800553;274640.81886468;0;5.75082083333333;0;;;;;41.4242637249
6/20/2019 3:51:48 PM;0;0;2.53196666666667;3302.32130188888;S;6034.73503633331;W;0;3582931.93554289;1494620.74755832;393577.522187718;70.1894438266754;545653.525690492;279574.616939131;581052.792924665;51.375409094269;132249.320714332;96675.4982800553;274645.820614681;0;5.7673306122449;0;;;;;48.0357278877003
6/20/2019 3:56:48 PM;0;0;2.67433333333334;3302.31962677778;S;6034.73457855555;W;0;3582931.93554289;1494620.74755832;393577.522187718;66.7561018466949;545659.475103666;279574.616939131;581057.794657998;55.5735269004043;132253.784312047;96675.4982800553;274650.822348015;0;5.72804375;0;;;;;45.892391316398
6/20/2019 4:01:49 PM;0;0;2.51126666666666;3302.32044555554;S;6034.73600044443;W;0;3582931.93554289;1494620.74755832;393577.522187718;63.7944209575653;545664.743112239;279574.616939131;581062.796457999;58.2535243574717;132258.546795683;96675.4982800553;274655.824148015;0;5.7319387755102;0;;;;;48.6563195331065
6/20/2019 4:06:49 PM;0.000666666666666667;0.000333333333333333;2.61456666666666;3302.32073855555;S;6034.73667199997;W;0;3582931.93554289;1494620.74755832;393577.522187718;56.8064081668854;545669.89566967;279574.616939131;581067.798224666;58.8642328350859;132263.437947438;96675.4982800553;274660.825914682;0;5.82150833333333;0;;;;;44.3234843283122
6/20/2019 4:11:49 PM;0;0;2.7985;3302.32101677778;S;6034.73684411108;W;0;3582931.93554289;1494620.74755832;393577.522187718;61.1971342563629;545674.748569587;279574.616939131;581072.800224667;58.5506849623651;132268.34297853;96675.4982800553;274665.827914683;0;5.68038979591837;0;;;;;42.8409664531603
6/20/2019 4:16:49 PM;0;0;2.60143333333333;3302.32037233332;S;6034.73598844443;W;0;3582931.93554289;1494620.74755832;393577.522187718;64.126296043396;545679.923078812;279574.616939131;581077.801941334;56.3266703021032;132273.140508637;96675.4982800553;274670.82963135;0;5.645575;0;;;;;46.3562578611091
6/20/2019 4:21:49 PM;0.00366666666666667;0.00183333333333333;2.7875;3302.320708;S;6034.73543933333;W;0;3582931.93554289;1494620.74755832;393577.522187718;61.4431822299957;545685.13224988;279574.616939131;581082.803691334;35.2190338961702;132276.955622411;96675.4982800553;274674.164148017;0;5.80187291666667;0;;;;;34.8286218187013
6/20/2019 4:26:49 PM;0;0;2.62276666666667;3302.3201578889;S;6034.73531955556;W;0;3582931.93554289;1494620.74755832;393577.522187718;59.0826094150543;545690.164613766;279574.616939131;581087.805441335;0;132276.955622411;96675.4982800553;274674.164148017;0;5.75655918367347;0;;;;;22.5676964485648
6/20/2019 4:31:49 PM;0;0;2.62546666666667;3302.32019022222;S;6034.7340118889;W;0;3582931.93554289;1494620.74755832;393577.522187718;60.6612682342529;545695.204886915;279574.616939131;581092.807391335;0;132276.955622411;96675.4982800553;274674.164148017;0;5.75553333333334;0;;;;;23.1238438012284
6/20/2019 4:36:49 PM;0;0;2.5826;3302.32023633333;S;6034.73409433333;W;0;3582931.93554289;1494620.74755832;393577.522187718;59.3163478374481;545700.125378608;279574.616939131;581097.809108002;14.7802989226769;132279.014922932;96675.4982800553;274675.748048017;0;5.76425306122449;0;;;;;28.601305902251
6/20/2019 4:41:49 PM;0;0;2.58843333333334;3302.32006966667;S;6034.73367144447;W;0;3582931.93554289;1494620.74755832;393577.522187718;69.4157087802887;545705.540955995;279574.616939131;581102.81087467;48.874820246107;132281.634120108;96675.4982800553;274680.749814684;0;5.80815625;0;;;;;46.071501508112
6/20/2019 4:46:49 PM;0.00166666666666667;0.000833333333333333;2.6336;3302.31987755555;S;6034.73670988885;W;0;3582931.93554289;1494620.74755832;393577.522187718;65.9564602375031;545711.181810551;279574.616939131;581107.812741337;53.1458961015032;132285.900132585;96675.4982800553;274685.751681351;0;5.80030208333334;0;;;;;45.2683199853352
6/20/2019 4:51:49 PM;0.000333333333333333;0.000166666666666667;2.55603333333333;3302.32024122221;S;6034.73571011112;W;0;3582931.93554289;1494620.74755832;393577.522187718;64.1551852226257;545716.579352971;279574.616939131;581112.814574671;55.6576126062237;132290.449222081;96675.4982800553;274690.753514685;0;5.79733673469388;0;;;;;46.9390146113639
