TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2006-01-11 12:00:00;N;;29;28;31;6;292;9.5;117.0;315;8;12.86;2;50;0
2006-01-12 12:00:00;N;;22;26;33;58;292;9.5;117.0;315;6;13.92;24;0;0
2006-01-13 12:00:00;N;;16;20;35;11;292;9.5;0.0;45;3;0.0;0;0;0
2006-05-05 12:00:00;N;;33;22;28;9;157;10.225;118.0;0;4;15.63;6;30;0
2006-05-07 12:00:00;N;;81;2;32;7;0;0;0.0;0;0;0.0;0;0;0
2006-05-06 12:00:00;N;;36;54;23;40;135;10.15;118.0;315;3;15.65;24;0;0
2006-10-08 12:00:00;N;;73;49;42;15;0;10;117.5;0;4;0.0;24;0;0
2006-02-26 12:00:00;N;;4;2;36;19;270;8.6;119.8;270;8;14.51;13;48;0
2006-03-01 12:00:00;N;;9;52;38;57;270;7.5;117.4;270;6;14.76;18;30;0
2006-03-06 12:00:00;N;;28;41;40;44;0;7.2;118.0;112;6;15.57;7;0;0
2006-02-28 12:00:00;N;;32;33;33;46;315;7;118.0;45;4;15.6;9;30;0
2006-07-29 12:00:00;N;;52;0;27;6;292;6.7;118.0;0;4;15.63;21;12;0
2007-06-17 12:00:00;N;;84;57;5;3;270;10.45;119.5;247;7;12.9;24;0;0
2007-06-17 12:00:00;N;;24;24;71;27;225;9.65;119.9;270;6;14.11;18;0;0
2007-06-16 12:00:00;N;;51;4;0;6;;0;0.0;;1;0.0;0;0;0
2007-06-17 12:00:00;N;;53;53;1;45;;10;116.4;;0;11.4;20;0;0
2007-06-18 12:00:00;N;;78;13;6;43;315;10.36;119.4;270;8;13.0;25;0;0
2007-06-18 12:00:00;N;;11;9;68;38;180;9.65;119.9;270;5;13.75;24;0;0
2007-06-18 12:00:00;N;;57;28;2;11;;10;116.5;;0;10.92;25;0;0
2007-06-19 12:00:00;N;;74;33;7;16;315;10.91;117.9;315;8;11.6;24;0;0
2006-04-02 12:00:00;N;;3;20;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-03 12:00:00;N;;3;20;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-04 12:00:00;N;;3;20;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-05 12:00:00;N;;3;20;6;22;0;7.18;0.0;0;0;0.0;0;0;0
2006-04-05 12:00:00;N;;25;23;37;54;157;6.75;118.0;202;4;14.58;21;0;0
2006-06-23 12:00:00;N;;72;28;30;36;157;10.42;117.5;157;6;0.0;24;0;0
2006-06-21 12:00:00;N;;13;51;33;42;0;6.8;119.7;0;5;0.0;24;0;0
2006-05-07 12:00:00;N;;39;57;18;40;157;10.125;119.7;315;1;15.86;24;0;0
2006-05-08 12:00:00;N;;42;5;14;20;157;10.15;120.0;135;6;15.9;24;0;0
2006-05-07 21:00:00;N;;81;2;32;7;0;9;0.0;0;0;0.0;0;0;0
2006-10-11 12:00:00;N;;59;1;34;6;180;5.95;90.0;0;2;0.0;15;30;0
2006-10-16 12:00:00;N;;58;15;34;39;0;9.42;77.0;90;3;0.0;16;0;0
2006-10-17 12:00:00;N;;53;20;34;10;45;9.42;119.6;270;3;0.0;24;0;0
2006-09-23 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
2006-08-18 12:00:00;N;;91;6;27;4;135;10.3;119.7;45;3;0.0;16;0;0
2006-03-01 12:00:00;N;;26;40;34;7;292;7;118.0;292;6;15.6;24;0;0
2006-06-04 00:00:00;N;;1;46;50;14;0;6.8;0.0;0;0;0.0;0;0;0
2006-06-05 11:00:00;N;;65;46;14;4;135;7;114.0;135;5;14.5;14;30;0
2006-06-07 12:00:00;N;;64;14;10;36;0;7.97;0.0;0;0;0.0;0;0;0
2006-06-05 12:00:00;N;;1;46;50;14;0;6.8;0.0;0;1;0.0;0;0;0
2006-08-23 12:00:00;N;;0;0;0;0;0;0;0.0;0;0;0.0;0;0;0
