clusters,var,error,partitioners,models
1,32.97872499121094,8.89571253112396,KMeansPartitioner,SplineRegressionModeler
2,32.97872499121094,12.715508900558534,KMeansPartitioner,SplineRegressionModeler
1,32.97872499121094,8.52353196576202,KMeansPartitioner,LinearRegressionModeler
2,32.97872499121094,8.763488058516387,KMeansPartitioner,LinearRegressionModeler
1,32.97872499121094,8.634280000000011,KMeansPartitioner,RandomForestModeler
2,32.97872499121094,9.876183298074169,KMeansPartitioner,RandomForestModeler
1,6.042099043141276,4.15848445892334,KMeansPartitioner,TensorFlowW
2,3.8714482828122585,9.604508453766119,KMeansPartitioner,TensorFlowW
1,3.8714482828122585,20.05878257751465,KMeansPartitioner,TensorFlowW1
2,3.8714482828122585,32.23765568158916,KMeansPartitioner,TensorFlowW1
1,3.8714482828122585,11.814696311950684,KMeansPartitioner,TensorFlowCA
2,3.8714482828122585,35.59514687782819,KMeansPartitioner,TensorFlowCA
1,3.8714482828122585,30.07933126980967,KMeansPartitioner,TensorFlowWeights
2,3.8714482828122585,12.470446207702059,KMeansPartitioner,TensorFlowWeights
1,3.2922041164071985,30.552391052246094,KMeansPartitioner,TensorFlowWLSTM
2,3.186709744872382,14.710079193115234,KMeansPartitioner,TensorFlowWLSTM
1,3.186709744872382,15.018410682678223,KMeansPartitioner,TensorFlowWLSTM2
2,3.186709744872382,14.685735702514648,KMeansPartitioner,TensorFlowWLSTM2
