Basis,Coeff
(Intercept),61.0438
h(x1-14.0114),318.357
h(x1-13.8221)*h(14.0114-x1),-1712.72
h(x1-14.0929)*h(x1-14.0114),792.426
h(14.0929-x1)*h(x1-14.0114),-1728.45
h(13.6771-x1)*h(14.0114-x1),279.123
x0*h(14.5-x0),-9.46517
h(x1-13.8557)*h(14.0114-x1),682.198
h(13.81-x1)*h(14.0114-x1),903.007
h(x1-13.4557)*h(14.5-x0),113.971
h(x1-14.2081),-391.244
h(x0-14.5)*h(x1-14.2081),-6712.4
h(14.5-x0)*h(x1-14.2081),-69.4002
h(x1-14.3193)*h(x1-14.2081),1047.77
h(x1-14.2443)*h(x1-14.2081),-1877.91
h(14.3129-x1)*h(14.5-x0),67.404
h(x1-13.6971)*h(14.2081-x1),959.91
h(13.6971-x1)*h(14.2081-x1),-1117.02
h(14.79-x1)*h(14.5-x0),44.1762
x0*h(x1-13.4843),-7.19512
