Basis,Coeff
(Intercept),92.1123
h(13.6-x0),1.73464
h(14.3671-x1),188.87
h(x1-13.6976)*h(x0-13.6),-14.4754
h(13.6976-x1)*h(x0-13.6),-179.666
h(x1-15.0476)*h(x1-14.3671),-5709.66
h(15.0476-x1)*h(x1-14.3671),5806.81
h(x1-13.8241)*h(x0-13.6),16.5937
h(x0-15.63)*h(x0-13.6),0.585872
h(15.63-x0)*h(x0-13.6),1.62437
h(x0-12.1)*h(13.6-x0),3.99016
h(12.1-x0)*h(13.6-x0),-0.49911
h(x1-15.0351)*h(x1-14.3671),5925.75
h(15.0351-x1)*h(x1-14.3671),-6015.68
h(x1-10.2344)*h(14.3671-x1),-33.0662
h(10.2344-x1)*h(14.3671-x1),33.8677
h(x1-14.55)*h(x1-14.3671),-211.48
h(x0-12.78)*h(14.3671-x1),0.340213
h(x1-14.4239)*h(15.1207-x1),-32.6401
h(7.84257-x1)*h(x0-13.6),1.00049
h(x1-15.0791)*h(15.1207-x1),1470.95
h(15.0791-x1)*h(15.1207-x1),-33.8595
h(13.7143-x1)*h(x0-13.6),178.69
h(x1-12.0957)*h(14.3671-x1),1.82206
h(x1-10.0209)*h(15.1207-x1),-1.51408
h(x1-15.076)*h(x0-13.6),13.9875
