FOC,PRED,PERC
72.1,73.92828,2.5357633
88.0,87.427826,0.6501978
58.1,57.775566,0.55840343
64.1,62.33334,2.756098
64.0,62.510063,2.3280263
83.9,83.62073,0.3328653
87.7,87.89178,0.21867743
72.2,71.34661,1.181975
63.8,62.978153,1.28816
58.0,57.918846,0.13992046
71.8,72.42602,0.8718868
88.0,87.62488,0.4262751
64.8,66.7404,2.9944432
87.8,87.96308,0.18573838
64.9,65.353004,0.6980014
57.9,59.03656,1.962968
72.1,71.1012,1.3853012
84.1,86.000046,2.2592716
79.3,78.744354,0.70069206
64.9,65.30097,0.61782813
87.8,87.53352,0.3035074
57.9,58.88539,1.7018819
86.0,87.01281,1.1776859
72.6,72.40243,0.2721361
88.0,87.98875,0.0127879055
87.6,87.96854,0.42070538
72.1,73.39564,1.7970029
84.7,82.095345,3.0751505
65.0,66.53713,2.364819
58.1,58.110085,0.017359829
64.9,66.29404,2.1479743
88.2,87.92938,0.30681932
63.9,63.577072,0.5053668
64.9,67.342094,3.762855
72.1,73.61853,2.1061468
87.1,85.75014,1.5497831
57.8,59.671867,3.2385263
88.1,88.024124,0.08612296
72.1,71.15504,1.3106263
51.8,52.629807,1.6019444
88.0,87.564476,0.4949136
64.9,66.04842,1.7695258
64.9,66.823395,2.963626
51.8,49.594547,4.2576294
87.9,88.01381,0.12947403
65.1,64.91468,0.28466666
58.0,58.076744,0.13231738
86.9,85.3984,1.7279657
88.0,87.87288,0.14445566
86.5,86.85783,0.41367194
64.0,63.778343,0.34633875
88.0,87.6896,0.35272947
87.2,86.709496,0.56250167
88.0,87.99706,0.00333786
65.1,66.010414,1.3984879
88.0,88.03997,0.045420907
58.0,56.248756,3.0193853
73.0,72.35165,0.8881556
71.9,73.00333,1.534527
62.9,63.28135,0.60627604
86.7,83.71537,3.4424763
68.0,69.253426,1.8432729
65.0,66.68844,2.5975976
87.7,87.99847,0.34033015
71.8,71.02009,1.0862323
88.1,87.656746,0.5031244
83.1,83.634254,0.6429073
58.0,58.66368,1.1442777
86.8,85.757,1.201612
37.1,37.805267,1.9009942
87.9,87.6339,0.30272812
63.9,62.53764,2.1320217
71.8,73.79249,2.7750487
83.9,81.40334,2.9757547
63.8,64.11426,0.4925683
87.8,87.86341,0.07221856
45.8,36.84288,19.55703
83.9,86.86214,3.5305545
65.0,65.73646,1.133012
64.8,66.04301,1.9182156
64.9,67.04586,3.306408
71.9,70.89062,1.4038723
57.8,59.348618,2.6792705
82.1,85.82192,4.533403
88.5,87.54809,1.0756067
57.9,58.04042,0.24251987
87.4,88.011406,0.6995474
87.7,87.74935,0.056276575
88.1,87.94445,0.17655857
65.0,66.54733,2.380512
73.3,72.47916,1.1198452
63.7,63.602425,0.15318076
86.9,86.27325,0.72123677
64.1,64.212,0.17472623
57.8,57.226536,0.99215126
62.9,62.874924,0.039869346
72.5,71.822624,0.93431145
58.1,58.044918,0.09480278
88.0,88.024956,0.028358808
83.2,83.7235,0.62921417
63.9,63.827568,0.113354415
57.9,57.96817,0.117735125
72.1,71.80094,0.4147809
62.9,62.62751,0.43321374
80.0,83.706,4.6325016
63.8,63.317017,0.7570261
65.0,66.678566,2.5824091
64.9,65.24753,0.53548
87.7,87.924614,0.25611973
72.8,72.03282,1.0538206
72.1,72.72494,0.8667669
86.7,84.58044,2.4447062
88.1,87.82726,0.30957502
87.8,87.90531,0.119941376
88.0,87.8088,0.21727301
87.9,87.680725,0.24946122
63.7,62.744164,1.5005294
87.8,87.45419,0.39386097
71.8,72.530785,1.0178015
57.9,57.447884,0.78085995
71.9,71.31592,0.8123554
63.8,63.14933,1.0198575
85.0,85.31626,0.3720721
72.0,73.0912,1.515558
64.8,66.09336,1.9959224
64.9,64.932014,0.04932656
88.0,87.177795,0.9343234
57.7,57.919327,0.3801144
64.1,64.075645,0.037992243
63.8,62.345016,2.2805371
58.0,57.64788,0.6071025
58.0,58.38112,0.65710133
67.9,68.96794,1.5728126
72.0,72.84725,1.1767387
52.1,52.75685,1.2607539
58.0,58.4338,0.7479306
88.3,87.49787,0.90841633
71.8,72.26688,0.65024114
83.8,81.95197,2.2052863
87.5,87.78802,0.3291626
88.6,88.077736,0.58946115
88.1,87.72674,0.4236782
58.0,57.92656,0.12662163
87.9,87.79223,0.122608446
63.8,64.41178,0.9589061
87.1,86.70806,0.44998536
64.0,63.435036,0.8827567
85.9,87.028854,1.3141477
63.9,63.37609,0.8198912
64.9,66.66668,2.722154
63.9,62.916496,1.5391318
86.6,86.81867,0.25251004
57.8,58.507015,1.223211
89.0,88.04324,1.0750074
64.9,67.10984,3.4049907
57.8,57.942497,0.24653636
64.9,66.46319,2.408608
72.0,73.02543,1.4242066
87.8,88.003,0.23120192
88.1,87.51038,0.6692564
72.0,72.53373,0.74129105
65.0,65.29041,0.44678906
57.8,58.77807,1.6921616
74.2,72.70941,2.0088754
82.9,83.98319,1.3066235
87.5,87.448494,0.05886405
58.0,59.158745,1.9978359
71.7,72.771355,1.4942229
86.0,86.92245,1.072613
75.4,73.394844,2.65936
64.0,63.01667,1.5364528
57.9,58.176025,0.47672513
87.0,86.94275,0.065805726
57.9,59.299046,2.4163108
63.8,63.87177,0.11249172
73.3,71.84513,1.9848187
52.0,51.54725,0.8706753
64.9,67.69731,4.3101845
57.9,58.238983,0.5854605
73.3,72.04592,1.7108891
87.7,87.62347,0.08726393
57.8,58.286217,0.8412068
63.1,62.75843,0.5413122
63.9,62.7071,1.8668257
87.8,87.682625,0.13368818
86.0,87.10752,1.2878152
63.9,64.06391,0.25651002
62.8,61.55116,1.9885993
88.0,87.887024,0.1283819
58.1,58.43478,0.5762163
88.2,88.06591,0.15202564
64.0,63.220203,1.2184322
71.9,72.42726,0.7333238
83.0,83.865654,1.0429566
71.9,71.09383,1.121245
62.9,61.428223,2.339871
57.8,58.385117,1.0123137
87.1,86.62047,0.5505515
72.1,72.57873,0.66397953
88.3,87.54856,0.85101014
86.3,86.89897,0.6940538
64.9,66.2046,2.0101633
71.7,71.69345,0.009129737
71.8,71.81579,0.021984981
87.8,88.00666,0.2353729
76.9,75.25029,2.1452687
88.3,87.46424,0.94650286
86.9,84.702065,2.5292716
85.9,86.48232,0.67790586
88.1,87.24745,0.9677034
88.0,87.334305,0.7564718
65.2,64.97642,0.34291324
63.0,62.83015,0.2696022
57.9,58.44738,0.945386
58.0,58.449306,0.77466637
88.1,87.8971,0.23030205
64.9,64.76057,0.21484561
83.9,84.25401,0.42194462
64.0,63.120075,1.3748825
82.0,83.86901,2.2792816
86.7,85.74719,1.0989672
88.2,87.791084,0.46361983
86.8,85.76879,1.188032
57.9,57.920654,0.035669725
71.9,71.970985,0.09872585
58.1,59.34278,2.1390407
63.8,64.267586,0.73289424
86.9,85.92563,1.1212577
58.0,59.723408,2.9713926
58.0,58.449406,0.7748374
88.1,87.80207,0.33817008
83.9,84.88421,1.1730716
88.1,87.36898,0.8297594
71.8,73.0604,1.7554302
86.5,85.85589,0.7446377
63.9,64.09027,0.2977613
64.8,66.81773,3.113782
58.0,59.349052,2.3259525
57.8,59.45763,2.8678737
64.0,64.328705,0.5136013
88.0,87.786354,0.24277948
64.9,67.66351,4.258107
71.9,70.056435,2.5640707
63.9,63.310432,0.9226433
64.1,62.562325,2.3988674
87.9,87.63038,0.3067381
88.1,87.49904,0.68213373
57.8,58.421932,1.0760087
72.9,72.152756,1.0250285
72.0,73.15265,1.6009012
63.8,63.197037,0.9450823
87.8,87.62871,0.195097
29.9,36.071156,20.639318
62.8,63.55445,1.2013563
73.2,72.21818,1.3412831
62.0,32.880142,46.967514
72.7,71.6899,1.3893999
63.0,62.572342,0.67882234
87.9,88.08641,0.21206939
87.6,86.639915,1.0959852
62.9,61.160225,2.7659404
88.3,88.166466,0.15123136
87.9,87.92565,0.029180914
65.0,65.28591,0.43986392
88.0,87.74735,0.28709933
57.9,58.33663,0.75411093
84.0,85.09469,1.3032005
71.9,71.163,1.0250341
75.7,74.816826,1.1666726
29.9,34.663467,15.931331
82.7,84.36544,2.0138373
84.0,83.30613,0.8260364
87.9,88.060844,0.18298395
20.3,47.047573,131.76146
86.8,87.03835,0.27459666
71.9,71.51627,0.53369683
83.8,82.996864,0.95839936
71.8,71.72554,0.10370875
87.6,88.0063,0.46381667
88.0,87.767044,0.26472265
65.0,66.01034,1.5543659
62.9,62.85364,0.07370432
85.8,86.61569,0.9506865
64.9,66.93011,3.1280518
57.8,58.47309,1.1645188
73.9,72.43587,1.9812369
87.9,87.86465,0.040221404
64.8,65.12685,0.50438774
87.8,87.84969,0.056594815
58.0,59.61747,2.7887409
64.9,65.85633,1.4735428
64.1,63.198452,1.4064689
46.0,33.512085,27.147642
58.1,58.187057,0.14984341
86.9,86.224106,0.7777856
88.0,87.8812,0.13499694
64.0,62.893333,1.7291665
88.1,87.73174,0.4179973
64.0,63.29602,1.099968
87.7,87.528885,0.19511068
87.8,87.96189,0.18438283
87.9,87.5496,0.398638
87.7,87.931206,0.26363605
63.8,63.661346,0.21732415
57.9,58.3107,0.7093228
72.0,71.7313,0.37319395
87.8,87.84758,0.054187816
87.8,87.79002,0.011365886
83.9,83.71024,0.22617199
71.8,72.86651,1.4853835
72.0,73.44358,2.004973
86.8,85.98884,0.9345217
87.8,87.92527,0.14267315
71.9,72.997536,1.526473
72.1,73.46196,1.8889894
71.9,73.33384,1.9942112
57.9,59.291992,2.404129
72.8,71.57033,1.6891145
71.9,73.74235,2.562373
64.0,64.31282,0.48878193
86.2,86.145195,0.06357534
88.0,87.87112,0.14645837
86.3,86.59983,0.34742478
83.8,83.931244,0.15661198
87.1,85.54886,1.7808725
65.0,66.29012,1.9848046
87.9,87.79814,0.11588173
58.0,57.226887,1.3329538
84.9,83.661674,1.4585713
63.9,63.30478,0.9314906
64.9,67.78106,4.439226
71.8,73.383514,2.2054474
87.8,87.77022,0.033923868
49.2,37.42153,23.939978
64.0,63.688606,0.48655272
88.3,87.816124,0.54799443
89.0,87.923965,1.2090276
71.5,72.93514,2.0071924
84.7,85.61548,1.0808519
65.0,66.19935,1.8451514
87.7,87.65555,0.050682843
71.8,70.60909,1.6586493
62.8,62.6872,0.17961878
57.8,57.725388,0.12908593
72.7,72.50844,0.26349223
72.0,73.1756,1.6327752
87.7,87.95971,0.2961371
83.7,82.05833,1.9613743
71.8,72.43337,0.88213015
57.8,58.46032,1.1424227
57.9,58.51339,1.0593921
87.1,85.95234,1.3176341
87.1,86.89399,0.23651999
62.9,61.326508,2.5015802
83.8,86.22466,2.8933887
51.8,52.11631,0.6106388
58.0,58.33101,0.570705
85.7,86.629684,1.0848162
87.7,87.57228,0.14562836
57.8,58.380363,1.0040903
87.8,87.854836,0.062451545
87.8,87.632576,0.19069141
64.0,64.236115,0.3689289
63.9,64.37113,0.7372932
64.0,64.24747,0.38666725
72.0,73.755135,2.437687
65.0,64.692314,0.47336286
57.8,59.56015,3.0452437
73.0,72.31629,0.9365866
82.9,84.35354,1.7533619
63.8,64.04876,0.38990632
88.0,87.69729,0.34399033
72.0,71.195724,1.1170493
87.9,87.52513,0.42647362
88.0,87.503944,0.56369954
83.9,83.78742,0.13418277
83.8,84.74143,1.1234238
71.8,73.15447,1.8864473
64.0,63.236145,1.1935234
88.0,88.02082,0.023659794
88.1,87.369576,0.8290839
71.8,71.63121,0.23508735
88.0,87.582855,0.47402814
83.2,83.26127,0.07364383
86.9,83.93584,3.4110065
87.9,87.631134,0.30587885
88.1,87.42698,0.7639267
88.3,87.686,0.6953636
63.9,64.279915,0.5945435
72.8,71.94102,1.1799257
71.9,73.5411,2.2824728
87.0,85.00848,2.2891078
84.1,81.267204,3.3683643
63.0,63.17048,0.2706013
87.2,86.48004,0.82563704
88.1,87.0162,1.2301944
87.7,87.21963,0.54774183
84.0,82.13602,2.2190278
88.0,86.845634,1.311779
87.8,86.76055,1.1838856
88.0,86.11406,2.1431143
72.0,73.51736,2.1074402
63.8,62.65592,1.7932307
71.9,71.961685,0.085790895
83.0,82.39221,0.73227483
30.0,34.688488,15.628293
57.7,58.49391,1.3759289
45.8,35.6277,22.210258
87.8,87.25637,0.61917144
58.0,57.900387,0.17174688
83.9,86.652824,3.2810762
72.0,73.532524,2.1285057
85.1,81.881294,3.7822611
86.3,86.49491,0.22584952
87.7,86.983444,0.81704986
85.1,82.03974,3.5960715
83.9,83.276566,0.7430703
65.0,67.310616,3.5547931
65.0,65.3778,0.58123076
85.8,86.184814,0.44849813
84.7,84.286804,0.4878309
65.0,65.06275,0.09654118
72.1,72.31489,0.29804373
65.0,65.85149,1.3099787
46.0,39.236652,14.7029295
63.9,63.157852,1.1614231
71.8,71.16429,0.88539225
86.5,87.036255,0.61994785
63.0,62.415863,0.92720157
83.9,83.98581,0.1022739
57.8,58.14126,0.5904135
64.9,65.64988,1.1554359
58.0,58.287003,0.49483198
84.1,82.7204,1.6404288
57.9,58.680084,1.347293
64.0,63.486744,0.8019626
87.9,88.1909,0.33094558
71.6,72.04045,0.61515725
65.0,65.742,1.1415335
72.2,70.72147,2.0478163
87.6,87.77612,0.20105545
71.8,73.18248,1.9254551
83.9,84.27964,0.45248947
58.0,58.088005,0.15173286
88.3,87.513535,0.8906778
87.7,88.08575,0.43985158
87.2,86.58977,0.6998045
62.9,62.567608,0.52844775
57.8,57.850037,0.08656987
86.8,88.09345,1.490149
57.9,58.237877,0.5835498
85.9,85.18873,0.8280246
86.5,86.62055,0.13936654
86.5,83.607285,3.3441796
64.9,67.52755,4.0486107
86.0,86.58527,0.6805509
88.0,87.39324,0.6894979
57.9,58.511494,1.0561177
86.0,86.61097,0.7104297
88.0,87.14877,0.9673032
87.9,87.55463,0.39291814
88.0,87.70704,0.33291036
64.9,66.994316,3.226987
65.0,66.41313,2.174049
73.2,72.263245,1.2797164
64.0,64.42368,0.66200495
88.0,87.57411,0.4839637
87.9,87.73532,0.18734981
62.8,64.38389,2.5221164
58.0,58.15808,0.27255356
88.6,87.068695,1.7283335
86.6,85.47219,1.3023183
83.8,82.46909,1.5881978
85.9,86.244064,0.40053874
86.6,85.17987,1.6398705
63.9,63.24895,1.0188584
64.8,67.73278,4.525891
62.9,63.214523,0.50003463
87.8,87.008286,0.9017284
64.8,67.102844,3.5537672
64.9,66.82863,2.9716904
58.0,58.00983,0.016949095
88.0,87.67564,0.36859512
63.8,62.99711,1.2584496
87.8,87.49975,0.34197587
72.2,70.946785,1.7357508
71.9,71.97697,0.10704497
45.9,39.23523,14.5202
72.1,49.85062,30.859056
87.8,87.68847,0.12703203
64.0,63.150585,1.3272107
65.0,65.15495,0.23838924
88.0,88.152504,0.17329995
57.8,58.135468,0.580395
71.8,72.92809,1.5711557
64.0,62.761147,1.9357085
62.9,62.817024,0.13191938
73.3,71.554405,2.381443
62.9,62.58355,0.5031034
83.0,85.03858,2.4561226
57.9,57.612667,0.4962598
58.0,58.83046,1.4318268
71.7,73.7105,2.8040526
71.9,72.69399,1.1042992
87.8,88.076485,0.31489936
71.8,70.40243,1.9464837
58.0,58.673443,1.1611084
87.9,88.152306,0.28703535
62.9,63.106308,0.3279912
65.0,65.906204,1.3941604
72.8,71.221664,2.1680474
87.8,87.954025,0.17542394
11.8,32.745064,177.50055
88.4,87.80657,0.6713004
84.2,82.337006,2.2125788
88.0,87.94749,0.059674006
57.8,58.14107,0.59009016
57.8,59.120766,2.285063
88.0,88.10207,0.11599281
62.9,62.68235,0.34602758
62.9,62.5902,0.4925326
88.0,87.83262,0.190206
73.0,71.52145,2.0254161
83.1,84.67376,1.893816
88.1,87.95182,0.16819309
64.0,62.88102,1.7484069
83.1,83.77781,0.81565666
84.1,84.981606,1.0482843
64.1,63.68363,0.6495579
88.3,87.67367,0.70932627
52.2,49.436394,5.294266
88.0,87.85675,0.16278353
86.1,86.37183,0.31572047
87.7,87.615135,0.09676369
57.9,59.509125,2.779142
65.1,65.91279,1.2485253
57.8,58.267906,0.80952764
71.9,71.53795,0.50355065
64.3,62.92862,2.1327894
64.0,63.512802,0.7612467
73.1,72.071556,1.406898
62.8,62.83889,0.061928086
58.0,58.281803,0.48586744
83.9,85.005875,1.3180847
88.0,87.708206,0.3315839
87.1,86.4492,0.74718136
87.5,87.55106,0.05835833
14.0,35.248093,151.7721
88.1,87.964005,0.15436319
57.9,58.424026,0.9050517
63.1,63.512764,0.65414506
64.1,64.16011,0.093778476
