FOC,PRED,PERC
72.1,78.147606,8.387806
88.0,105.29706,19.655748
58.1,54.405876,6.3582144
64.1,61.240192,4.461476
64.0,61.494583,3.9147139
83.9,95.57042,13.909914
87.7,108.45173,23.662182
72.2,74.05999,2.5761676
63.8,62.217735,2.4800375
58.0,54.67036,5.7407575
71.8,75.75258,5.50498
88.0,106.38662,20.893885
64.8,67.38373,3.9872296
87.8,108.44056,23.508606
64.9,65.45765,0.8592415
57.9,56.436005,2.528492
72.1,73.70227,2.2222915
84.1,100.7653,19.816051
79.3,86.585884,9.187744
64.9,65.37854,0.7373475
87.8,105.37945,20.022146
57.9,56.050156,3.194898
86.0,103.16535,19.959713
72.6,75.72043,4.298113
88.0,108.2947,23.062159
87.6,108.53305,23.89618
72.1,77.28374,7.1896515
84.7,93.19945,10.034771
65.0,67.10374,3.2365184
58.1,55.037403,5.2712483
64.9,66.76127,2.8679
88.2,108.190956,22.665487
63.9,63.00131,1.4064054
64.9,68.22717,5.126612
72.1,77.64394,7.689245
87.1,100.511986,15.398378
57.8,57.442852,0.61790174
88.1,108.741745,23.429907
72.1,73.78388,2.3354836
51.8,43.836433,15.37368
88.0,106.35771,20.861036
64.9,66.425446,2.350453
64.9,67.49929,4.005068
51.8,36.962837,28.64317
87.9,108.300606,23.208878
65.1,64.84661,0.38922805
58.0,54.844547,5.4404354
86.9,99.19349,14.146707
88.0,107.61909,22.294416
86.5,103.29729,19.418829
64.0,63.29567,1.1005163
88.0,106.710106,21.261484
87.2,103.21071,18.360909
88.0,108.99206,23.854612
65.1,66.376854,1.9613756
88.0,109.221535,24.115381
58.0,51.732174,10.806597
73.0,75.6307,3.6036975
71.9,76.66038,6.6208286
62.9,62.5888,0.4947583
86.7,95.98824,10.713087
68.0,70.95573,4.346657
65.0,67.31113,3.5555794
87.7,108.68535,23.928566
71.8,73.57391,2.4706273
88.1,106.953926,21.400599
83.1,96.134186,15.684943
58.0,55.971073,3.4981496
86.8,100.50794,15.792556
37.1,6.4989877,82.48251
87.9,106.67909,21.364153
63.9,61.566723,3.6514533
71.8,77.92646,8.53267
83.9,91.786995,9.400469
63.8,63.783768,0.02544128
87.8,108.08987,23.109182
45.8,8.815061,80.75314
83.9,103.64689,23.536217
65.0,65.992134,1.5263602
64.8,66.41175,2.4872649
64.9,67.81654,4.4939017
71.9,73.40226,2.0893717
57.8,56.776035,1.7715639
82.1,99.45102,21.134008
88.5,105.05443,18.705568
57.9,54.63151,5.64506
87.4,107.63478,23.15192
87.7,106.42474,21.35091
88.1,107.860214,22.429304
65.0,67.11482,3.2535727
73.3,75.835495,3.4590614
63.7,63.017555,1.0713431
86.9,101.19591,16.450985
64.1,63.875072,0.3508986
57.8,53.296425,7.7916512
62.9,61.976334,1.4684705
72.5,74.849884,3.2412193
58.1,54.5388,6.129431
88.0,107.71164,22.399591
83.2,94.93933,14.1097765
63.9,63.327812,0.8954449
57.9,54.502495,5.867887
72.1,74.80823,3.7562125
62.9,61.61149,2.0485106
80.0,94.94881,18.686008
63.8,62.591255,1.8945832
65.0,67.32088,3.57058
64.9,65.300934,0.61776936
87.7,107.174995,22.206385
72.8,75.15959,3.2411928
72.1,76.23286,5.73212
86.7,97.13397,12.0345745
88.1,107.23004,21.71401
87.8,108.12762,23.152178
88.0,107.61232,22.286726
87.9,106.92399,21.642761
63.7,61.897205,2.830134
87.8,105.87534,20.586946
71.8,75.90742,5.7206326
57.9,53.78655,7.1044087
71.9,74.040855,2.9775436
63.8,62.393227,2.2049727
85.0,99.03622,16.513195
72.0,76.80184,6.6692247
64.8,66.48146,2.5948417
64.9,64.874504,0.039287265
88.0,104.53613,18.79106
57.7,54.667465,5.2556944
64.1,63.706066,0.61455905
63.8,61.27136,3.9633865
58.0,54.04942,6.811346
58.0,55.25554,4.7318296
67.9,70.565765,3.9260144
72.0,76.42171,6.1412597
52.1,44.117832,15.320857
58.0,55.27112,4.7049685
88.3,105.01348,18.92806
71.8,75.51613,5.175662
83.8,92.307785,10.152484
87.5,106.77777,22.031738
88.6,108.947205,22.965244
88.1,106.96538,21.413597
58.0,54.621185,5.8255424
87.9,106.97582,21.701729
63.8,64.14125,0.53487676
87.1,102.09797,17.219254
64.0,62.759014,1.9390404
85.9,103.15082,20.08244
63.9,62.675304,1.9165838
64.9,67.29536,3.69084
63.9,62.02493,2.9343855
86.6,102.31375,18.14521
57.8,55.434837,4.0919757
89.0,108.089645,21.44904
64.9,67.914566,4.6449375
57.8,54.480965,5.7422748
64.9,67.0044,3.2425277
72.0,76.71438,6.5477476
87.8,107.85801,22.845108
88.1,105.40699,19.644714
72.0,75.920494,5.4451303
65.0,65.37052,0.5700332
57.8,56.02246,3.075326
74.2,76.193184,2.686236
82.9,96.46903,16.36795
87.5,106.08287,21.237566
58.0,56.778397,2.1062129
71.7,76.282326,6.3909745
86.0,104.05133,20.989918
75.4,77.27956,2.4927783
64.0,62.2471,2.738905
57.9,55.00376,5.002142
87.0,103.125244,18.534763
57.9,56.78975,1.9175344
63.8,63.384068,0.6519306
73.3,74.86468,2.134617
52.0,41.432774,20.32159
64.9,68.75843,5.945191
57.9,54.858334,5.2533126
73.3,75.20335,2.5966482
87.7,105.26468,20.028145
57.8,55.011765,4.8239355
63.1,61.77379,2.1017592
63.9,61.703064,3.4380867
87.8,105.23292,19.855255
86.0,102.97411,19.73734
63.9,63.6417,0.40422654
62.8,60.05321,4.373866
88.0,106.93002,21.511389
58.1,55.21971,4.957465
88.2,107.78224,22.202093
64.0,62.437428,2.4415195
71.9,75.78769,5.407076
83.0,95.28287,14.7986355
71.9,73.73548,2.552823
62.9,59.854893,4.8411903
57.8,55.055992,4.747417
87.1,101.14399,16.123985
72.1,76.02346,5.4416947
88.3,104.641495,18.506784
86.3,102.24444,18.47559
64.9,66.644165,2.687463
71.7,74.64393,4.105902
71.8,74.84127,4.2357483
87.8,107.85109,22.837227
76.9,80.31949,4.446667
88.3,105.20576,19.145813
86.9,97.94153,12.706015
85.9,102.46815,19.287712
88.1,105.47786,19.725155
88.0,106.09728,20.565094
65.2,64.97516,0.34484398
63.0,62.059494,1.4928666
57.9,55.70759,3.7865515
58.0,55.69697,3.9707382
88.1,108.54457,23.206099
64.9,64.66176,0.3670926
83.9,97.5612,16.282719
64.0,62.444393,2.4306357
82.0,96.73423,17.968573
86.7,101.118164,16.629951
88.2,108.19092,22.665443
86.8,101.507065,16.943619
57.9,54.970123,5.060239
71.9,75.01621,4.33409
58.1,57.102837,1.7162856
63.8,64.01924,0.34363967
86.9,101.81734,17.166094
58.0,57.681858,0.54852057
58.0,55.69643,3.971672
88.1,107.97505,22.559652
83.9,98.86362,17.83506
88.1,106.16375,20.50369
71.8,76.73716,6.876262
86.5,101.657555,17.523184
63.9,63.781143,0.18600678
64.8,67.499115,4.165296
58.0,57.013145,1.7014735
57.8,57.108185,1.1969109
64.0,64.03631,0.0567317
88.0,106.882355,21.45722
64.9,68.69285,5.8441396
71.9,72.16028,0.36199832
63.9,62.609253,2.0199509
64.1,61.56251,3.9586384
87.9,106.278336,20.90823
88.1,105.6234,19.890352
57.8,55.448277,4.0687246
72.9,75.3295,3.3326428
72.0,76.898346,6.8032584
63.8,62.452446,2.1121523
87.8,105.87323,20.58454
29.9,24.438614,18.265503
62.8,62.91026,0.17557327
73.2,75.464645,3.093782
62.0,18.219967,70.61295
72.7,74.669754,2.7094321
63.0,61.49633,2.3867774
87.9,107.68347,22.506792
87.6,101.33398,15.678057
62.9,59.473038,5.4482727
88.3,108.70003,23.103085
87.9,106.96612,21.69069
65.0,65.356766,0.5488704
88.0,105.81008,20.23873
57.9,55.00464,5.0006266
84.0,97.4166,15.972146
71.9,73.85172,2.7144938
75.7,79.58032,5.1259255
29.9,23.02312,22.999596
82.7,96.16228,16.278454
84.0,94.10901,12.0345335
87.9,108.15741,23.04597
20.3,34.114662,68.05253
86.8,103.03999,18.709665
71.9,74.363495,3.4262772
83.8,93.854385,11.99807
71.8,74.6988,4.03732
87.6,107.9549,23.236193
88.0,106.70611,21.25694
65.0,66.36559,2.1009123
62.9,61.97477,1.4709569
85.8,101.96628,18.841812
64.9,67.648964,4.235689
57.8,55.523106,3.9392624
73.9,75.766106,2.5251746
87.9,108.18906,23.081974
64.8,65.16668,0.5658585
87.8,108.41207,23.47616
58.0,57.436504,0.97154415
64.9,66.15787,1.9381602
64.1,62.50412,2.4896703
46.0,19.268637,58.11166
58.1,54.871616,5.556596
86.9,100.6185,15.786534
88.0,107.04279,21.639538
64.0,62.015755,3.1003833
88.1,106.29625,20.654089
64.0,62.580463,2.218026
87.7,105.38504,20.165386
87.8,108.49332,23.568693
87.9,106.27395,20.903238
87.7,108.49224,23.708374
63.8,63.135162,1.0420641
57.9,55.365395,4.377559
72.0,74.66678,3.703859
87.8,107.80958,22.789948
87.8,107.58803,22.537613
83.9,96.404465,14.904009
71.8,76.43428,6.4544253
72.0,77.36114,7.446024
86.8,101.075676,16.446629
87.8,108.75396,23.865553
71.9,76.64016,6.5927095
72.1,77.38771,7.333859
71.9,77.17933,7.342597
57.9,56.986416,1.5778681
72.8,74.409355,2.2106483
71.9,77.84479,8.26813
64.0,64.03246,0.050723553
86.2,101.583305,17.846066
88.0,108.482056,23.275064
86.3,103.59065,20.035515
83.8,98.02947,16.980272
87.1,101.927246,17.023247
65.0,66.8316,2.8178406
87.9,109.230576,24.266865
58.0,54.056786,6.798646
84.9,97.45379,14.786558
63.9,62.82101,1.6885616
64.9,68.85718,6.097344
71.8,77.26002,7.604477
87.8,108.318436,23.369513
49.2,7.4245906,84.90937
64.0,63.1941,1.2592196
88.3,108.15708,22.488195
89.0,109.10799,22.593243
71.5,76.537384,7.045292
84.7,100.58948,18.759718
65.0,66.63951,2.5223248
87.7,107.25742,22.300373
71.8,72.94269,1.5914831
62.8,61.82136,1.5583403
57.8,54.333538,5.997338
72.7,75.876076,4.3687468
72.0,76.932396,6.8505497
87.7,108.44612,23.655787
83.7,93.2224,11.3768215
71.8,75.74576,5.4954805
57.8,55.628735,3.7565134
57.9,55.69617,3.8062706
87.1,100.89607,15.83935
87.1,103.570915,18.910353
62.9,59.842598,4.860737
83.8,101.22852,20.797756
51.8,42.597633,17.765184
58.0,55.180183,4.8617525
85.7,101.75166,18.730066
87.7,105.74018,20.570335
57.8,55.26719,4.382025
87.8,107.29005,22.198227
87.8,106.37707,21.158386
64.0,63.91853,0.12729764
63.9,64.08974,0.29692551
64.0,63.939518,0.094503164
72.0,77.86562,8.1467
65.0,64.5424,0.7040053
57.8,57.14025,1.1414326
73.0,75.59351,3.5527582
82.9,96.48043,16.381699
63.8,63.63201,0.2633038
88.0,105.98596,20.438593
72.0,73.875786,2.6052582
87.9,105.49145,20.013021
88.0,105.8205,20.250572
83.9,96.26116,14.733206
83.8,98.328804,17.337471
71.8,76.89557,7.096888
64.0,62.536755,2.286321
88.0,108.84948,23.69259
88.1,105.76179,20.047434
71.8,74.493515,3.7514095
88.0,106.94072,21.523546
83.2,95.7086,15.034382
86.9,97.314865,11.984883
87.9,107.48691,22.283169
88.1,107.105156,21.572256
88.3,108.818954,23.23777
63.9,64.12397,0.35049844
72.8,74.966194,2.975537
71.9,77.52246,7.8198323
87.0,100.110405,15.069431
84.1,92.44499,9.922704
63.0,62.60642,0.6247324
87.2,103.9704,19.232113
88.1,106.07184,20.399364
87.7,107.09502,22.115189
84.0,95.19421,13.326436
88.0,106.49362,21.015478
87.8,106.502815,21.301607
88.0,104.68587,18.961214
72.0,77.55447,7.7145367
63.8,62.196945,2.512624
71.9,75.04249,4.370635
83.0,96.08164,15.761015
30.0,15.040462,49.86513
57.7,56.109596,2.7563336
45.8,20.046581,56.23017
87.8,106.26924,21.03558
58.0,55.039425,5.1044397
83.9,104.05299,24.020252
72.0,77.50328,7.6434455
85.1,93.55011,9.9296255
86.3,103.46238,19.886879
87.7,105.10365,19.844536
85.1,93.87892,10.316009
83.9,96.21783,14.681556
65.0,68.187546,4.903917
65.0,65.51487,0.79210716
85.8,102.161644,19.069511
84.7,98.05385,15.766059
65.0,65.108376,0.16673163
72.1,75.5553,4.792371
65.0,66.16298,1.7891986
46.0,-1.8259301,103.96942
63.9,62.411663,2.329168
71.8,73.82201,2.8161602
86.5,103.24603,19.359575
63.0,61.323334,2.661375
83.9,95.532425,13.864629
57.8,54.7186,5.3311386
64.9,65.87497,1.5022619
58.0,54.86413,5.4066753
