Basis,Coeff
(Intercept),9.24863e+12
h(13.7143-x1),97.3369
h(x1-12.8783)*h(13.7143-x1),-71.4461
h(12.8783-x1)*h(13.7143-x1),84.2957
h(x1-14.1916)*h(x1-13.7143),87.9045
h(14.1916-x1)*h(x1-13.7143),-86.1819
h(13.51-x1),62.6237
h(x1-12.338),-4.28574e+12
h(12.338-x1),4.28574e+12
h(x1-12.7157)*h(x1-12.338),43.6578
h(12.27-x0),9.13266
h(x0-13.2)*h(x0-12.27),0.247281
h(13.2-x0)*h(x0-12.27),-3.02378
h(x1-13.929)*h(x1-13.51),-16.8032
h(x1-13.6057)*h(x1-13.51),1341.52
h(13.2-x0),-420.411
h(13.21-x0)*h(13.51-x1),-59.626
x1*h(13.2-x0),30.0466
h(x1-13.4299)*h(x0-13.2),25.0395
h(13.4299-x1)*h(x0-13.2),27.3653
h(x0-11.7)*h(13.51-x1),-28.3412
h(11.7-x0)*h(13.51-x1),70.4768
h(x1-13.4326)*h(x0-12.27),-25.7402
h(13.4326-x1)*h(x0-12.27),-3.3858
h(13.21-x0)*h(13.7143-x1),63.2695
h(x1-12.626)*h(x1-12.338),-41.8429
h(x0-11.7)*h(13.7143-x1),4.39815
h(11.7-x0)*h(13.7143-x1),-43.656
h(13.3143-x1)*h(13.51-x1),-84.4005
h(x1-14.496),4.28574e+12
h(14.496-x1),-4.28574e+12
h(x1-13.5971)*h(x1-13.51),-1416.6
h(13.6579-x1)*h(x1-13.51),-59.879
